Aachen	Aquisgrana
Aal	anguilla
Aalbeere	ribesnero
Abakus	abaco
Abart	genere
Abbild	figura
Abend	sera
Abendessen	cena
Abendland	ovest
Abendmahl	cena
Abendzeitung	edizionedellasera
Abenteuer	avventura
Aberglaube	superstizione
Abessinien	Abissinia
Abessinier	abissino
Abfahrt	partenza
Abgabe	contribuzione
Abgang	partenza
Abgeordneter	delegato
Abgott	idolo
Abgrund	abisso
Abhandlung	articolo
Abkomme	discendente
Abkommen	accordo
Abkunft	discendenza
Abkömmling	discendente
Ablass	indulgenza
Abneigung	avversione
Abonnement	abbonamento
Abort	cesso
Abreise	partenza
Abriss	progetto
Absatz	capoverso
Abscheu	orrore
Abschied	addio
Absicht	intenzione
Abstammung	discendenza
Abstand	distanza
Abszess	ascesso
Abt	abate
Abtei	badia
Abteil	scompartimento
Abteilung	brigata
Abtritt	cesso
Abwechslung	cambiamento
Abwehr	difesa
Abwesenheit	assenza
Abzeichen	segno
Abzug	partenza
Acheron	Acheronte
Achilles	Achille
Achse	assale
Achsel	spalla
Acht	esilio
Achtung	attenzione
Achtung erweisen	rispettare
Acker	campo
Adam	Adamo
Adel	nobiltà
Ader	vena
Adjektiv	aggettivo
Adjutant	aiutante
Adler	aquila
Admiral	ammiraglio
Adresse	indirizzo
Adria	MarAdriatico
Adriatisches Meer	MarAdriatico
Adverb	avverbio
Affe	scimmia
Affiche	affisso
Afghane	afgano
Afghanistan	Afghanistan
Afrika	Africa
Afrikaner	africano
After	sedere
Agent	agente
Agentur	agenzia
Agonie	agonia
Ahle	punteruolo
Ahn	antenato
Akademie	accademia
Akkord	accordo
Akkumulator	accumulatore
Akt	atto
Akte	atto
Aktie	azione
Aktieninhaber	azionista
Aktionär	azionista
Akzent	accento
Akzise	dazioconsumo
Alarm	allarme
Alaska	Alasca
Alaun	allume
Albaner	albanese
Albanien	Albania
Albanier	albanese
Album	album
Algerien	Algeria
Algerier	algerino
Alinea	capoverso
Alkohol	alcool
Alkoven	alcova
Allerheiligen	Ognissanti
Allerseelen	ilgiornodeiMorti
Allianz	banda
Almosen	elemosina
Alpen	Alpi
Alphabet	alfabet
Altan	balcone
Altar	altare
Alter	età
Alternative	alternativa
Amateur	dilettante
Amazone	amazzone
Ameise	formica
Amerika	America
Amerikaner	americano
Amnestie	amnistia
Amsel	merlo
Amt	ufficio
Amtsbezirk	circondario
Amtsbruder	collegio
Amtsgenosse	collegio
Ananas	ananas
Anatolien	Anatolia
Anblick	apparenza
Anchovis	acciuga
Anden	Ande
Andenken	memoria
Andorra	Andorra
Aneinanderreihung	ordine
Anemone	anemone
Anerbieten	offerta
Anfall	assalto
Anfang	inizio
Angabe	dichiarazione
Angebinde	dono
Angelegenheit	affare
Angelhaken	amo
Angelleine	lenza
Angelrute	canna
Angesicht	faccia
Angewohnheit	costume
Angola	Angola
Angriff	assalto
Angst	angoscia
Anhang	partito
Anhänger	membro
Anker	ancora
Ankunft	arrivo
Ankündigung	avviso
Anlage	pianta
Anlass	causa
Anmut	fascino
Annahme	accoglienza
Annonce	annuncio
Anpflanzen	pianta
Anpflanzung	pianta
Anruf	chiamata
Anschein	apparenza
Anschlag	affisso
Anschlagzettel	affisso
Anschluss	coincidenza
Ansehen	apparenza
Ansicht	illustrazione
Anstalt	luogo
Ansteckung	infezione
Anstellung	funzione
Anteil	parte
Anteilschein	azione
Anthologie	antologia
Anthrazit	antracite
Antillen	Antille
Antipathie	avversione
Antlitz	faccia
Antwort	risposta
Anwuchs	crescimento
Anzahl	numero
Anzeichen	augurio
Anzeige	annuncio
Anziehungskraft	forzaattrativa
Anzug	abito
Apathie	apatia
Apenninen	Appennini
Apfel	mela
Apfelbaum	melo
Apfelsine	arancia
Apfelwein	sidro
Apostel	apostolo
Apotheke	farmacia
Apotheker	farmacista
Apparat	apparecchio
Appartement	appartamento
Appetit	appetito
Applaus	applausi
Approbation	approvazione
Aprikose	albicocca
April	aprile
Araber	arabo
Arabien	Arabia
Arbeit	lavoro
Arbeiter	operaio
Architekt	architetto
Ardennen	Ardenne
Ardennerwald	Ardenne
Arena	arena
Argentinien	Argentina
Argentinier	argentino
Argument	argomento
Argwohn	sospetto
Arie	aria
Arm	bracchio
Armband	braccialetto
Armee	esercito
Armenien	Armenia
Armenier	armeno
Armut	povertà
Aroma	aroma
Arrest	arresto
Arrestant	arrestato
Arsch	sedere
Arsenal	arsenale
Art	maniera
Arterie	arteria
Artikel	merce
Artillerie	artiglieria
Artischocke	carciofo
Arzt	dottore
As	asso
Asbest	amianto
Asche	cenere
Aschenbecher	portacenere
Aserbaidschan	Azerbaigian
Asiat	asiatico
Asien	Asia
Asphalt	asfalto
Assekuranz	assicurazione
Assistent	assistente
Assoziation	compagnia
Assyrer	assiro
Assyrien	Assiria
Ast	ramo
Asthma	asma
Asyl	asilo
Atem	alito
Athen	Atene
Athene	Atene
Athener	ateniese
Atlantik‐	atlantico
Atlantischer Ozean	Atlantico
Atmen	respirazione
Atmosphäre	atmosfera
Atmung	respirazione
Atom	atomo
Attentat	attentato
Attest	certificatoattestato
Audienz	udienza
Aufführung	condotta
Aufgabe	compito
Aufklärung	spiegazione
Aufmerksamkeit	attenzione
Aufnahme	accoglienza
Aufschluss	spiegazione
Aufsehen	rumore
Aufseher	capotreno
Auftrag	ordine
Aufwand	lusso
Aufzug	ascensore
Augenbraue	sopracciglio
Augengläser	occhiali
Augenlid	palpebra
Augenschein	apparenza
August	agosto
Aula	salotto
Ausdehnung	dimensione
Ausfuhr	esportazione
Ausgang	uscita
Auskunft	annunzio
Auskunftsstelle	ufficiod'informazioni
Auskunft geben	informare
Ausland	estero
Auslese	scelta
Ausländer	forestiere
Ausschuss	comitato
Aussehen	apparenza
Aussicht	vista
Ausstand	debito
Ausstellung	esposizione
Auster	ostrica
Austrag	decisione
Australien	Australia
Australier	australiano
Ausweis	prova
Auto	auto
Autobus	autobus
Autokrat	autocrate
Automat	automa
Autor	autore
Autorität	autorità
Aviatik	aviazione
Avis	avviso
Axiom	assioma
Axt	ascia
Azur	azzurro
Bach	ruscello
Backbord	babordo
Backe	guancia
Backenbart	baffi
Backstein	mattone
Backstube	panetteria
Bad	vascadabagno
Badeanzug	costumedabagno
Badegast	bagnante
Bademantel	accappatoio
Badeort	bagni
Badestube	saladabagno
Bagage	bagaglio
Bagasse	bagassa
Bagatelle	inezia
Bahn	ferrovia
Bahnbrecher	iniziatore
Bahnhof	stazione
Bahnhofsvorsteher	capostazione
Bahnsteig	piattaforma
Bahnwagen	vagone
Bahnzug	treno
Bahnübergang	passaggioalivello
Bai	baia
Bajonett	baionetta
Bakterie	batterio
Balg	pelle
Balkan	Balcani
Balken	trave
Balkon	balcone
Ball	ballo
Ballade	ballata
Ballast	zavorra
Ballon	pallone
Baltisches Meer	Baltico
Balustrade	parapetto
Bambus	bambù
Banane	banana
Band	legame
Bandit	bandito
Bank	banca
Bankanweisung	assegno
Bankerott	fallimento
Bankier	banchiere
Bann	anatema
Banner	bandiera
Bannfluch	anatema
Baracke	baracca
Barbar	barbaro
Barbier	barbiere
Barett	beretta
Barometer	barometro
Baron	barone
Barre	barra
Barriere	barriera
Barsch	pescepersico
Bart	barba
Basar	bazar
Base	cugina
Bast	corteccia
Bastard	bastardo
Bastei	baluardo
Bastion	baluardo
Bataillon	battaglione
Batterie	batteria
Bau	edificio
Bauch	ventre
Bauchweh	maldipancia
Bauer	contadino
Bauernhof	fattoria
Baum	albero
Baumrinde	corteccia
Baumstamm	tronco
Bauwerk	edificio
Bazillus	bacillo
Beamter	funzionario
Becher	calice
Becken	bacino
Bedarf	bisogno
Bedeckung	coperta
Bedeuting	significato
Bedienung	servizio
Bedrohung	minaccia
Bedürfnis	bisogno
Beefsteak	bistecca
Beere	bacca
Beete	barbabietola
Befehl	comando
Befehlshaber	capo
Befugnis	diritto
Begegnung	incontro
Begehr	desiderio
Begeisterung	entusiasmo
Beginn	inizio
Begnadigung	amnistia
Begünstigung	protezione
Behandlung	trattamento
Behälter	cassa
Beichte	confessione
Beifall	applausi
Beifall spenden	applaudire
Beihilfe	aiuto
Beil	ascia
Bein	gamba
Beinkleid	calzoni
Beispiel	esempio
Beistand	aiuto
Beisteuer	contributo
Bekannter	conoscenza
Bekanntmachung	annunzio
Bekenntnis	confessione
Belagerung	assedio
Belastung	carico
Beleg	prova
Belgien	Belgio
Belgier	belga
Belohnung	ricompensa
Bemerkung	osservazione
Benachrichtigung	avviso
Benehmen	condotta
Benutzung	impiego
Benzin	benzina
Beobachtung	osservazione
Beratung	conferenza
Berg	montagna
Berlin	Berlino
Bernstein	ambragialla
Beruf	mestiere
Berufssänger	cantante
Berührung	contatto
Besatzung	guarnigione
Beschluss	decisione
Beschäftigung	occupazione
Besen	granata
Besitz	possesso
Besitztum	possesso
Besitzung	fattoria
Besorgnis	cura
Besteck	cassa
Bestehen	esistenza
Bestellung	ordine
Bestrafung	punizione
Besuch	visita
Beton	calcestruzzo
Betonung	accento
Betrag	importo
Betragen	condotta
Betrug	truffa
Betrübnis	tristezza
Bett	letto
Bettdecke	coperta
Bettlaken	lenzuolo
Bettler	mendicante
Bettstelle	letto
Betttuch	lenzuolo
