άρχης	arch
έξ	ex
έτο	et
ίτιδα	itis
α	ly
αλγία	algia
γένεση	genesis
γλωσσία	glossy
γονία	gony
γραφία	graphy
θεραπεία	therapy
ι-	i-
ιάν	yan
ιακός	ac
ικός	ic
ισμός	ism
κλής	cles
κράτης	crat
κρατία	cracy
λάτρης	later
λατρία	latry
ληψία	lepsy
λογία	logy
μανής	mania
μανία	mania
μετρία	metry
μετρο	metron
ο-	o-
ουλός	ish
ουργός	ator
πάθεια	pathy
ποιώ	ify
ρροια	rrhea
σαυρος	saur
σκοπία	scopy
σκόπιο	scope
τής	er
τος	eth
τόμος	tome
φέρνω	ish
φιλος	phile
φοβία	phobia
φωνία	phony
φωνος	hone
bits ανά δευτερόλεπτο	bit/s
bytes ανά δευτερόλεπτο	Bps
click away	call and collect
Άαλεν	Aalen
Άαλμποργκ	Aalborg
Άαλτεν	Aalten
Άαρ	Aar
Άαχεν	Aachen
Άβαρος	Avar
Άβδηρα	Abdera
Άβε Μαρία	Ave Maria
Άβελ	Abel
Άβιλα	Ávila
Άβολα	Avola
Άγγλος	Englishman
Άγιο Πνεύμα	Holy Ghost
Άγιοι Ανάργυροι	Aghii Anargyri
Άγιοι Απόστολοι	Aghii Apostoli
Άγιοι Πάντες	Aghii Pantes
Άγιον Όρος	Mount Athos
Άγιος	Saint
Άγιος Αθανάσιος	Aghios Athanassios
Άγιος Ανδρέας	Saint Andrew
Άγιος Βασίλειος	Aghios Vassilios
Άγιος Βικέντιος και Γρεναδίνες	Saint Vincent and the Grenadines
Άγιος Βλάσης	Aghios Vlassios
Άγιος Βλάσιος	Aghios Vlassios
Άγιος Δημήτριος	Aghios Dimitrios
Άγιος Ηλίας	Aghios Ilias
Άγιος Ιωάννης	Aghios Ioannis
Άγιος Κωνσταντίνος	Agios Konstantinos
Άγιος Μαρίνος	San Marino
Άγιος Μαρτίνος	Saint Martin
Άγιος Μηνάς	Aghios Minas
Άγιος Νικόλαος	Aghios Nikolaos
Άγιος Πέτρος	Aghios Petros
Άγιος Παντελεήμων	Aghios Panteleimon
Άγιος Παύλος	Aghios Pavlos
Άγιος Στέφανος	Agios Stefanos
Άγιος Χριστόφορος	Aghios Christoforos
Άγιος Χριστόφορος και Νέβις	Saint Kitts and Nevis
Άγκυρα	Ankara
Άγρα	Agra
Άγραφα	Agrafa
