έξ	ex
έτα	ette
ίτιδα	ite
α	ment
αλγία	algie
γένεση	genèse
γλωσσία	glossie
γραφία	graphie
ι-	i-
ικός	ique
ισμός	isme
κράτης	crate
κρατία	cratie
λάτρης	lâtre
λατρία	lâtrie
λογία	logie
μανία	manie
μετρία	métrie
ουργός	ateur
πάθεια	pathie
ποιώ	iser
ρραγία	rragie
ρροια	rrhée
σκοπία	scopie
σκόπιο	scope
τζής	aire
τομος	tome
τόμος	tome
φιλος	phile
φοβία	phobie
φωνία	phonie
Άαρ	Aar
Άαχεν	Aix-la-Chapelle
Άβδηρα	Abdère
Άβελ	Abel
Άγγελοι	Anges
Άγγλος	Anglais
Άγιο Πνεύμα	Saint-Esprit
Άγιον Όρος	Mont Athos
Άγιος Ανδρέας	Saint-André
Άγιος Βαρθολομαίος	Saint Barthélémy
Άγιος Μαρίνος	Saint-Marin
Άγιος Μαρτίνος	Saint Martin
Άγκυρα	Ankara
Άγραφα	Agrafa
Άδης	Hadès
Άδωνης	Adonis
Άθως	Athos
Άιφελ	Eiffel
Άλπεις	Alpes
Άμμων	Amon
Άμστερνταμ	Amsterdam
Άνδεις	Andes
Άνδρος	Andros
Άννα	Anne
Άνουβις	Anubis
Άνσλους	Anschluss
Άνω Λιόσια	Ano Liosia
Άουγκσμπουργκ	Augsbourg
Άπω Ανατολή	Extrême-Orient
Άραβας	Arabe
Άρειος Πάγος	cassation
Άρης	Arès
Άσμα Ασμάτων	Cantique des Cantiques
Άτλας	Atlas
Έκτορας	Hector
Έκτωρ	Hector
Έλληνας	Grec
Έμπολα	Ébola
Ένδοξες Νήσοι	îles Glorieuses
Έξοδος	Exode
Έριδα	Discorde
Έρως	Éros
Έρωτας	Éros
Έσδρας	Esdras
Έχιδνα	Échidna
Ήβη	Hébé
Ήπειρος	Épire
Ήρα	Héra
Ήφαιστος	Héphaïstos
Ίβηρας	Ibère
Ίκαρος	Icare
Ίλιον	Ilio
Ίμβρος	Imbros
Ίνκας	Inca
Όλγα	Olga
Όλιβερ	Olivier
Όμηρος	Homère
Όφις	Serpent
Ύδρα	Hydre
Ύδρος	Hydre mâle
Ύψιστος	Très-Haut
Ώρχους	Aarhus
ΑΔΤ	CNI
ΑΕΠ	PIB
ΑΚΟ	pas de prénom
ΑΜΚΑ	numéro
ΑΟΖ	ZEE
ΑΤΙΑ	OVNI
ΑΤΜ	distributeur
Αίας	Ajax
Αίγυπτος	Égypte
Αίολος	Éole
Αίρμπας	Airbus
Αίσωπος	Ésope
Ααρών	Aaron
Αβάνα	Havane
Αββακούμ	Habacuc
Αβελλίνο	Avellino
Αβησσυνία	Abyssinie
Αβινιόν	Avignon
Αβορίγινες	Aborigènes
Αβράνς	Avranches
Αβραάμ	Abraham
Αγάθη	Agathe
Αγάπη	Agape
Αγία Γραφή	Saintes Écritures
Αγία Λουκία	Sainte-Lucie
Αγία Μαύρα	Sainte-Maure
Αγία Πετρούπολη	Saint-Pétersbourg
Αγία Τράπεζα	autel
Αγία Τριάδα	Trinité
Αγγαίος	Aggée
Αγγελική	Angélique
Αγγλία	Angleterre
Αγγλίδα	Anglaise
Αγκνό	Haguenau
Αγκριτζέντο	Agrigente
Αγνή	Agnès
Αγρωστώδη	graminées
Αδελία Γη	Terre Adélie
Αδριανή	Adriana
Αετός	Aigle
Αζέρα	Azerbaïdjanais
Αζέρος	Azéri
Αζερμπαϊτζάν	Azerbaïdjan
Αζοφική	mer d'Azov
Αζτέκος	Aztèque
Αζόρες	Açores
Αηδόνι	Aydoni
Αθήνα	Athènes
Αθανάσιος	Athanase
Αθηνά	Athéna
Αθηναία	Athéniennne
Αθηναίος	Athénien
Αιγέας	Égée
Αιγαίο Πέλαγος	mer Égée
Αιγυπτιώτης	Egypte
Αιγόκερως	Capricorne
Αιγύπτια	Égyptienne
Αιγύπτιος	Égyptien
Αιθιοπία	Éthiopie
