άρχης	arca
έτα	etta
έτο	etto
ίστας	ista
α	mente
γένεση	genesi
γραφία	grafia
ιάνος	iano
ικός	ico
ισμός	ismo
κράτης	cratica
κρατία	crazia
λογία	logia
μανία	mania
μετρία	metria
ρροια	rragia
σκόπιο	scopio
φιλος	filo
φοβία	fobia
Άαχεν	Aquisgrana
Άβελ	Abele
Άβολα	Avola
Άγγλος	inglese
Άγιο Πνεύμα	Spirito Santo
Άγιοι Τόποι	Terra santa
Άγιος Ανδρέας	Saint-André
Άγιος Βικέντιος και Γρεναδίνες	Saint Vincent e Grenadine
Άγιος Μαρίνος	San Marino
Άγιος Νικόλαος	San Niccolò
Άγιος Χριστόφορος και Νέβις	Saint Kitts e Nevis
Άγκυρα	Ankara
Άδης	Ade
Άθως	Athos
Άκαμπα	Acaba
Άλδος	Aldo
Άλπεις	Alpi
Άλσφελντ	Alsfeld
Άμστερνταμ	Amsterdam
Άνδεις	Ande
Άνδρος	Andro
Άννα	Anna
Άνουβις	Anubi
Άντσιο	Anzio
Άνω Λιόσια	Ano Liosia
Άουγκσμπουργκ	Augusta
Άπω Ανατολή	Estremo Oriente
Άραβας	arabo
Άργος	Argo
Άρειος Πάγος	areopago
Άρης	Marte
Άρνεμ	Arnhem
Άρνος	Arno
Άσμα Ασμάτων	Cantico dei Cantici
Άστι	Asti
Άτλας	Atlante
Έκο	Eco
Έκτορας	Ettore
Έκτωρ	Ettore
Έλληνας	greco
Ένωση Σοβιετικών Σοσιαλιστικών Δημοκρατιών	Unione delle Repubbliche Socialiste Sovietiche
Έξοδος	Esodo
Έρις	Eride
Έρμος	Ermo
Έρως	Cupido
Έσδρας	Esdra
Έχιδνα	echidna
Ήλιος	Sole
Ήπειρος	Epiro
Ήρα	Era
Ήφαιστος	Efesto
Ίαιρος	Giairo
Ίκαρος	Icaro
Ίλιον	Ilion
Ίμολα	Imola
Όλιβερ	Oliviero
Όλυμπος	Olimpo
Όμηρος	Omero
Όρεγκον	Oregon
Όσλο	Oslo
Όφις	Serpente
Ύδρα	Idra femmina
Ύδρος	Idro
Ώρχους	Aarhus
Α΄ Παγκόσμιος Πόλεμος	Prima guerra mondiale
ΑΕΠ	PIL
ΑΟΖ	ZEE
ΑΤΙΑ	OVNI
ΑΤΜ	bancomat
Αίγινα	Egina
Αίγυπτος	Egitto
Αίολος	Eolo
Αίσωπος	Esopo
Αίτνα	Etna
Ααρών	Aronne
Αβάνα	Avana
Αββακούμ	Abacuc
Αβελλίνο	Avellino
Αβινιόν	Avignone
Αβραάμ	Abramo
Αγάθη	Agata
Αγάθων	Agatone
Αγία Γραφή	Sacra Scrittura
Αγία Λουκία	Santa Lucia
Αγία Μαύρα	Santa Maura
Αγία Πετρούπολη	San Pietroburgo
Αγία Ρωμαϊκή Αυτοκρατορία	Sacro Romano Impero
Αγία Τριάδα	Trinità
Αγγαίος	Ageo
Αγγελική	Angelica
Αγγλία	Inghilterra
Αγγλίδα	inglese
Αγκριτζέντο	Agrigento
Αγνή	Agnese
Αγρίνιο	Agrinio
Αγχίσης	Anchise
Αδάμ	Adamo
Αδριατική	Adriatico
Αδόλφος	Adolfo
Αετός	Aquila
Αζερμπαϊτζάν	Azerbaigian
Αζόρες	Azzorre
Αηδόνι	Aidoni
Αθήνα	Atene
Αθανάσιος	Atanasio
Αθηνά	Atena
Αθηναίος	ateniese
Αθμονία	Athmonía
Αιγέας	Egeo
Αιγαίο Πέλαγος	Mar Egeo
Αιγιλία	Egilia
Αιγωλιός ο πένθιμος	Civetta capogrosso
Αιγόκερως	Capricorno
Αιγύπτιος	egiziano
Αιθαλίδες	Etalide
Αιθιοπία	Etiopia
Αικατερίνη	Caterina
Αιμίλιος	Emilio
Αιμιλία	Emilia
Αινείας	Enea
Αιξωνή	Essone
Αισχύλος	Eschilo
Ακίνδυνος	Acindino
Ακουιτανία	Aquitania
Ακρόπολη	Acropoli
Ακτή Ελεφαντοστού	Costa d'Avorio
Αλάσκα	Alaska
Αλέξανδρος	Alessandro
Αλή	Alì
Αλίκη	Alice
Αλαμπάμα	Alabama
Αλβέρτος	Alberto
Αλβανία	Albania
Αλβανός	albanese
Αλγέρι	Algeri
Αλγερία	Algeria
Αλγερινή	algerina
Αλγερινός	algerino
Αλεξάνδρα	Alessandra
Αλεξάνδρεια	Alessandria
Αλεξία	Alessia
Αλεξανδρούπολη	Alessandropoli
Αλιάκμονας	Aliacmone
Αλιμούς	Alimunte
Αλλάχ	Allah
Αλσατή	alsaziana
Αλσατία	Alsazia
Αλσατός	alsaziano
Αλταμούρα	Altamura
Αλωπεκή	Alopece
Αλώπηξ	Volpetta
Αμάλφι	Amalfi
Αμάν	Amman
Αμαζόνα	amazzone
Αμαζόνιος	Amazzoni
Αμβέρσα	Anversa
Αμβούργο	Amburgo
Αμβρόσιος	Ambrogio
Αμερική	America
Αμερικανίδα	americana
Αμερικανική Σαμόα	Samoa americane
Αμερικανός	americano
Αμμόχωστος	Famagosta
Αμοργός	Amorgo
Αμπχαζία	Abcasia
Αμφιτρίτη	Anfitrite
Αμφιτροπή	Anfitrope
Αμώς	Amos
Ανάσταση	resurressi
Αναγέννηση	Rinascimento
Αναξίμανδρος	Anassimandro
Αναστασία	Anastasia
Ανγκολέζα	angolana
Ανγκολέζος	angolano
Ανγκουίλα	Anguilla
Ανγκουλέμ	Angoulême
Ανγκόλα	Angola
Ανδαλουσία	Andalusia
Ανδαλουσιανή	andalusa
Ανδαλουσιανός	andaluso
Ανδορανή	andorrana
Ανδορανός	andorrano
Ανδρέας	Andrea
Ανδρομάχη	Andromaca
Ανδρομέδα	Andromeda
Ανδρόνικος	Andronico
Ανδόρα	Andorra
Ανθεστηριώνας	Antesterione
Ανκόνα	Ancona
Αννίβας	Annibale
Αντήνορας	Antenore
Αντίγκουα και Μπαρμπούντα	Antigua e Barbuda
Αντίλλες	Antille
Αντίς Αμπέμπα	Addis Abeba
Ανταναναρίβο	Antananarivo
Ανταρκτική	Antartide
Αντικύθηρα	Cerigotto
Αντιόχεια	Antiochia
Αντλία	Macchina Pneumatica
Αντχριμνίρ	Andhrímnir
Αντωνία	Antonia
Αντώνιος	Antonio
Ανόι	Hanoi
Απέννινα	Appennini
Αποκάλυψη	Apocalisse
Απουλήιος	Apuleio
Απουλία	Puglia
Απρίλιος	Aprile
Απόλλων	Apollo
Αράβισσα	araba
Αράλη	Aral
Αρέτσο	Arezzo
Αραβία	Arabia
Αραγονέζος	aragonese
Αραγονία	Aragona
Αργεντινή	Argentina
Αργεντινός	argentino
Αργυρούπολη	Argiroupoli
Αρθούρος	Arturo
Αριάδνη	Arianna
Αριζόνα	Arizona
Αριθμοί	Numeri
Αριστοτέλης	Aristotele
Αριστοφάνης	Aristofane
Αρκτική	Artide
Αρλ	Arles
Αρμένια	armena
Αρμένιος	armeno
Αρμενία	Armenia
Αρούμπα	Aruba
Αρχάγγελσκ	Arcangelo
Αρχιμήδης	Archimede
Ασία	Asia
Ασιάτης	asiatico
Ασιάτισσα	asiatica
Ασκληπιός	Asclepio
Ασμάρα	Asmara
Ασουάν	Assuan
Ασπίς	Scudo
Ασσυρία	Assiria
Αστούρια	Asturie
Αστραχάν	Astrachan'
Ατλάντα	Atlanta
Ατλαντικός Ωκεανός	Oceano Atlantico
Αττίλας	Attila
Αττική	Attica
Αυγουστίνος	Agostino
Αυλώνας	Valona
Αυστρία	Austria
Αυστραλία	Australia
Αυστραλασία	Australasia
Αυστραλός	australiano
Αυστριακή	austriaca
Αυστριακός	austriaco
Αυστροουγγαρία	Austria-Ungheria
Αφγανή	afghana
Αφγανιστάν	Afghanistan
Αφγανός	afghano
Αφρική	Africa
Αφροδίτη	Afrodite
Αχαΐα	Acaia
Αχαιός	Acheo
Αχιλλέας	Achille
Αϊνστάιν	Einstein
Αϊτή	Haiti
Αϊόβα	Iowa
Αύγουστος	agosto
Βάαλ	Baal
Βάδη-Βυρτεμβέργη	Baden-Vurtemberga
Βάνδαλος	vandalo
Βάσκος	basco
Βέλγιο	Belgio
Βέλγος	belga
Βέλος	Freccia
Βέρβερος	berbero
Βέρνη	Berna
Βέρνον	Vernon
Βίβλος	Bibbia
Βίκινγκ	vichingo
Βίλνιους	Vilna
Βίνταρ	Víðarr
Βαβέλ	Babele
Βαβυλώνα	Babilonia
Βαβυλώνιος	babilonese
Βαγδάτη	Bagdad
Βακτριανή	Battria
Βαλέτα	La Valletta
Βαλεαρίδες	Baleari
Βαλεντίνος	Valentino
Βαλκάνια	Balcani
Βαλντεμάρ	Valdimaro
Βαλτική Θάλασσα	Mar Baltico
Βαλτιμόρη	Baltimora
Βανέσσα	Vanessa
Βανουάτου	Vanuatu
Βαντούζ	Vaduz
Βαρθολομαίος	Bartolomeo
Βαρκελώνη	Barcellona
Βαρνάβας	Varnava
Βαρσοβία	Varsavia
Βασίλειος	Basilio
Βασιλεία	Basilea
Βασιλειών Α'	I Re
Βασιλειών Β'	II Re
Βατικανό	Vaticano
Βαυαρή	bavarese
Βαυαρία	Baviera
Βαυαρός	bavarese
Βαϊκάλη	Bajkal
Βεατρίκη	Beatrice
Βεγγάζη	Bengasi
Βεγγάλη	Bengala
Βεζούβιος	Vesuvio
Βελγίδα	belga
Βελιγράδι	Belgrado
Βενέδικτος	Benedetto
Βενεζουέλα	Venezuela
Βενετία	Venezia
Βενιαμίν	Beniamino
Βερίγγειος Πορθμός	stretto di Bering
Βερμούδες	Bermude
Βερμόντ	Vermont
Βερολίνο	Berlino
Βερολινέζος	berlinese
Βερτσέλλι	Vercelli
Βερόνα	Verona
Βερόνικα	Veronica
Βεσσαραβία	Bessarabia
Βεστφαλία	Westfalia
Βηθεσδά	Betzaeta
Βηθλεέμ	Betlemme
Βηρυτός	Beirut
Βησιγότθος	visigoto
Βιέννη	Vienna
Βιβιάνα	Viviana
Βιεντιάν	Vientiane
Βιετνάμ	Vietnam
Βικιλεξικό	Wikizionario
Βικιπαίδεια	Wikipedia
Βικτωρία	Vittoria
Βιργινία	Virginia
Βιρτζίνια	Virginia
Βιστούλας	Vistola
Βιτρέ	Vitré
Βλάσιος	Biagio
Βλαντίμιρ	Vladimiro
Βλαχία	Valacchia
Βοημία	Boemia
Βοιωτία	Aonia
Βολίνη	Boline
Βολιβία	Bolivia
Βονιφάτιος	Bonifacio
Βοσνία	Bosnia
Βοσνία Ερζεγοβίνη	Bosnia-Erzegovina
Βουδαπέστη	Budapest
Βουκουρέστι	Bucarest
Βουλγάτα	Vulgata
Βουλγαρία	Bulgaria
Βουργουνδία	Borgogna
Βουτάδες	Butade
Βοϊβοντίνα	Voivodina
Βούδας	Budda
Βοώτης	Boote
Βρέμη	Brema
Βραζιλία	Brasile
Βραυρώνα	Braurone
Βρετάνη	Bretagna
Βρετανία	Gran Bretagna
Βρετανική Κολομβία	Colombia Britannica
Βρυξέλλες	Bruxelles
Βυζάντιο	Bisanzio
Βυτίνα	Vitina
Βωμός	Altare
Βόλγας	Volga
Βόλφανγκο	Volfango
Βόλφγκανγκ	Wolfgang
Βόρεια Αμερική	America del Nord
Βόρεια Θάλασσα	mare del Nord
Βόρεια Ιρλανδία	Irlanda del Nord
Βόρεια Κορέα	Corea del Nord
Βόρεια Μακεδονία	Macedonia del Nord
Βόρεια Ρηνανία-Βεστφαλία	Renania Settentrionale-Vestfalia
Βόρειος Πόλος	Polo nord
Βόσπορος	Bosforo
Βύβλος	Biblo
Γάζα	Gaza
Γάλλος	francese
Γάνδη	Gand
Γάσπαρης	Gaspare
Γένεση	Genesi
Γαία	Gaia
Γαβριήλ	Gabriele
Γαλάτες	Galati
Γαλάτσι	Galatsi
Γαλαξίας	Via Lattea
Γαλατία	Gallia
Γαλικία	Galizia
Γαλλία	Francia
Γαλλίδα	francese
Γαλλικά νότια και ανταρκτικά εδάφη	Territori francesi meridionali
Γαλλική Πολυνησία	Polinesia francese
Γαργηττός	Gargetto
Γενοβέφα	Genoveffa
Γερανός	Gru
Γερμανία	Germania
Γερμανίδα	tedesca
Γερμανός	tedesco
Γεσθημανή	Getsemani
Γεωργία	Georgia
Γεώργιος	Giorgio
Γη	Terra
Γιακουμής	Giacomo
Γιαπωνέζα	giapponese
Γιαχβέ	Yahweh
Γιβραλτάρ	Gibralterra
Γιερεβάν	Yerevan
Γιουγκοσλάβα	jugoslava
Γιουγκοσλάβος	jugoslavo
Γιουγκοσλαβία	Jugoslavia
Γιουτλάνδη	Jutland
Γκάμπια	Gambia
Γκάνα	Ghana
Γκαμπόν	Gabon
Γκντανσκ	Danzica
Γκούρα	Gura
Γκρατς	Graz
Γκρενόμπλ	Grenoble
Γλυφείον	Bulino
Γλύπτης	Scultore
Γνώμων	Regolo
Γοδεφρείδος	Goffredo
Γολγοθάς	Golgota
Γοργώ	Gorgone
Γουαδελούπη	Guadalupa
Γουατεμάλα	Guatemala
Γουιάνα	Guyana
Γουινέα	Guinea
Γουλιέλμος	Guglielmo
Γρενάδα	Grenada
Γρηγόριος	Gregorio
Γροιλανδία	Groenlandia
Γότθος	goto
ΔΚΟ	DCI
ΔΝΤ	FMI
ΔΦΑ	AFI
Δάφνη	Dafne
Δέσποινα	Despina
Δήλος	Delo
Δήμητρα	Cerere
Δίας	Zeus
Δίδυμοι	Gemelli
Δίκτυον	Reticolo
Δαιδαλίδες	Dedalide
Δαμασκός	Damasco
Δανία	Danimarca
Δανιήλ	Daniele
Δανός	danese
Δαρδανέλλια	Dardanelli
Δαρείος	Dario
Δεκέλεια	Decelea
Δεκέμβριος	dicembre
Δελφίν	Delfino
Δευκαλίων	Deucalione
Δευτέρα	lunedì
Δευτερονόμιο	Deuteronomio
Δημιουργός	Creatore
Δημοκρατία της Κίνας	Repubblica di Cina
Δημοκρατία του Κονγκό	Repubblica del Congo
Δημόκριτος	Democrito
Διαβήτης	Compasso
Διαφωτισμός	illuminismo
Διεθνής	Internazionale
Διομήδης	Diomede
Διόνυσος	Dioniso
Δνείπερος	Dnepr
Δνείστερος	Dnestr
Δομινικανή Δημοκρατία	Repubblica Dominicana
Δον Κιχώτης	Don Chisciotte
Δοράς	Dorado
Δουβλίνο	Dublino
Δούμα	duma
Δούναβης	Danubio
Δράκων	Dragone
Δρακουμέλ	Gargamella
Δραπετσώνα	Drapetsona
Δυρράχιο	Durazzo
Δυτική Βιρτζίνια	Virginia Occidentale
Δυτική Σαχάρα	Sahara Occidentale
Δωδεκάνησα	Dodecaneso
Δωροθέα	Dorotea
Δόρα Ριπάρια	Dora Riparia
ΕΚΤ	BCE
ΕΟΚ	CEE
ΕΠΕ	Srl
ΕΣΣΔ	URSS
ΕΤΠΑ	FESR
Εβραίος	ebreo
Εβραίους	Ebrei
Εγγύς Ανατολή	Vicino Oriente
Εγκέλαδος	Encelado
Εδουάρδος	Edoardo
Ειρήνη	Irene
Ειρεσίδες	Ireside
Ειρηνικός	Pacifico
Ειρηνικός Ωκεανός	Oceano Pacifico
Εκάβη	Ecuba
Εκκλησιαστής	Ecclesiaste
Ελ Σαλβαδόρ	El Salvador
Ελένη	Elena
Ελαιούς	Eleunte
Ελασσόνα	Elassona
Ελαφηβολιών	Elafebolione
Ελβετία	Svizzera
Ελβετίδα	elvetica
Ελεονώρα	Eleonora
Ελευθερές	Eleutere
Ελευσίνα	Eleusi
Ελευσίνια Μυστήρια	Misteri eleusini
Ελισάβετ	Elisabetta
Ελλάδα	Grecia
Ελλήσποντος	Ellesponto
Ελληνίδα	greca
Ελσίνκι	Helsinki
Εμμανουήλ	Emanuele
Εμπεδοκλής	Empedocle
Εξάς	Sestante
Εξκάλιμπερ	Excalibur
Επίδαυρος	Epidauro
Επίκουρος	Epicuro
Επικηφισιά	Epicefisia
Εποχή του Λίθου	età della pietra
Εποχή του Χαλκού	Età del bronzo
Ερέχθειο	Eretteo
Εργατική Πρωτομαγιά	Festa dei lavoratori
Ερμής	Mercurio
Ερρίκος	Enrico
Ερυθραία	Eritrea
Ερυθραίος	eritreo
Ερυθρός Σταυρός	Croce Rossa
Εσθήρ	Ester
Εσθονία	Estonia
Εσθονός	estone
Εσουατίνι	eSwatini
Εσπερία	Esperia
Εστιαία	Estiea
Ετρούσκοι	etrusca
Ετρούσκος	Etrusco
Ευάγγελος	Evangelio
Ευαγγελία	Evangela
Ευαγγελίνα	Evangelina
Ευαγγελισμός	annunciazione
Ευαγόρας	Evagora
