α	t
ικός	isk
ισμός	ism
κράτης	krat
κρατία	krati
λογία	logi
μανία	mani
μετρία	metri
σκόπιο	skop
φιλος	fil
Άαλμποργκ	Ålborg
Άαχεν	Aachen
Άβελ	Abel
Άγγλος	engelsman
Άγιο Πνεύμα	den Helige Anden
Άγιος Βικέντιος και Γρεναδίνες	Saint Vincent och Grenadinerna
Άγιος Μαρίνος	San Marino
Άγιος Νικόλαος	Sankt Nikolaus
Άγιος Χριστόφορος και Νέβις	Saint Kitts och Nevis
Άγκυρα	Ankara
Άδης	Hades
Άλπεις	Alperna
Άμστερνταμ	Amsterdam
Άνδεις	Anderna
Άννα	Anna
Άουγκσμπουργκ	Augsburg
Άπω Ανατολή	Fjärran Östern
Άραβας	arab
Άρης	Mars
Άρνεμ	Arnhem
Άρτεμις	Artemis
Άσμα Ασμάτων	Höga Visan
Άτλας	Atlas
Έκτορας	Hektor
Έκτωρ	Hektor
Έλληνας	grek
Ένωση Σοβιετικών Σοσιαλιστικών Δημοκρατιών	Socialistiska rådsrepublikernas union
Έξοδος	Andra Moseboken
Έρως	Eros
Έσδρας	Esra
Ήλιος	Solen
Ήπειρος	Epirus
Ήρα	Hera
Ήφαιστος	Hefaistos
Ίκαρος	Ikaros
Ίντα	Ida
Όκλαντ	Auckland
Όλγα	Olga
Όλιβερ	Oliver
Όμηρος	Homeros
Όρεγκον	Oregon
Όσλο	Oslo
Όφις	Ormen
Ύδρα	Vattenormen
Ύδρος	Lilla vattenormen
Ώλαντ	Åland
Ώρχους	Århus
Α΄ Παγκόσμιος Πόλεμος	första världskriget
ΑΕΠ	BNP
ΑΤΙΑ	ufo
Αίγυπτος	Egypten
Αίσωπος	Aisopos
Ααρών	Aron
Αβάνα	Havanna
Αββακούμ	Habackuk
Αβησσυνία	Abessinien
Αβινιόν	Avignon
Αβραάμ	Abraham
Αγάθη	Agda
Αγάθων	Agatho
Αγία Γραφή	Helig Skrift
Αγία Λουκία	Saint Lucia
Αγία Πετρούπολη	Sankt Petersburg
Αγία Ρωμαϊκή Αυτοκρατορία	Tysk-Romerska Riket
Αγία Τράπεζα	altare
Αγία Τριάδα	treenighet
Αγαμέμνων	Agamemnon
Αγγαίος	Haga
Αγγελική	Angelica
Αγγλία	England
Αγγλίδα	engelska
Αγγλοσάξονας	angelsaxare
Αγνή	Agnes
Αδάμ	Adam
Αδόλφος	Adolf
Αετός	Örnen
Αζέρα	azerbajdzjan
Αζέρος	azerbajdzjan
Αζερμπαϊτζάν	Azerbajdzjan
Αζοφική	Azovska sjön
Αζτέκος	aztek
Αζόρες	Azorerna
Αθήνα	Aten
Αθηνά	Athena
Αθηναίος	atenare
Αιγαίο Πέλαγος	Egeiska havet
Αιγόκερως	Stenbocken
Αιγύπτια	egyptier
Αιγύπτιος	egyptier
Αιθιοπία	Etiopien
Αικατερίνη	Katarina
Αιμίλιος	Emil
Αιμιλία	Emilia
Αισχύλος	Aischylos
Ακουιτανία	Akvitanien
Ακρόπολη	Akropolis
Ακτή Ελεφαντοστού	Elfenbenskusten
Αλάσκα	Alaska
Αλέξανδρος	Alexander
Αλίκη	Alice
Αλβανία	Albanien
Αλβανός	alban
Αλγέρι	Alger
Αλγερία	Algeriet
Αλγερινή	algeriska
Αλγερινός	algerier
Αλεξάνδρα	Alexandra
Αλεξάνδρεια	Alexandria
Αλεξανδρούπολη	Alexandroupoli
Αλλάχ	Allah
Αλμάτι	Almaty
Αλσατία	Elsass
Αλσατός	elsassare
Αλώπηξ	Räven
Αμάν	Amman
Αμαζόνα	amason
Αμαζόνιος	Amazonfloden
Αμβέρσα	Antwerpen
Αμβούργο	Hamburg
Αμβρόσιος	Ambrosius
Αμερική	Amerika
Αμερικανίδα	amerikanska
Αμερικανική Σαμόα	Amerikanska Samoa
Αμερικανός	amerikan
Αμπούζα	Abuja
Αμπχαζία	Abchazien
Αμώς	Amos
Ανάσταση	uppståndelsen
Αναγέννηση	Renässansen
Αναστασία	Anastasia
Ανατολία	Anatolien
Ανατολικό Μπλοκ	östblocket
Ανγκουίλα	Anguilla
Ανγκουλέμ	Angoulême
Ανγκόλα	Angola
Ανδαλουσία	Andalusien
Ανδορανός	andorran
Ανδρέας	Andreas
Ανδρομέδα	Andromeda
Ανδόρα	Andorra
Ανθρωπίδης	människoapa
Αντίγκουα και Μπαρμπούντα	Antigua och Barbuda
Αντίλλες	Antillerna
Αντίς Αμπέμπα	Addis Abeba
Ανταναναρίβο	Antananarivo
Ανταρκτική	Antarktis
Αντιγκέα	Adygeiska republiken
Αντλία	Luftpumpen
Αντχριμνίρ	Andrimner
Αντώνιος	Anton
Ανόι	Hanoi
Απέννινα	Apenninerna
Απαλάχια	Appalacherna
Αποκάλυψη	Uppenbarelseboken
Απουλήιος	Apuleius
Απουλία	Apulien
Απρίλιος	april
