ABC	abc
ABC book	abécédaire
AIDS	sida
Abkhazia	Abkhasie
Abkhazian	abkhasien
Abyssinia	Abyssinie
Abyssinian	abyssin
Acheron	Achéron
Achilles	Achille
Achilles' heel	talon d'Achille
Achilles' tendon	tendon d'Achille
Adam	Adam
Addis Ababa	Addis‐Abeba
Aden	Aden
Adonis	Adonis
Adrianople	Andrinople
Adriatic	mer Adriatique
Adriatic Sea	mer Adriatique
Adzharia	Adjarie
Aegean	mer Egée
Aegean Sea	mer Egée
Aeneas	Enée
Aeolus	Eole
Afghan	afghan
Afghanistan	Afghanistan
Afghan woman	Afghane
Africa	Afrique
African	africain
Afrikaans	d'Afrikanders
Afrikaner	Afrikander
Afro‐Asian	afro‐asiatique
Again River	rivière Again
Agamemnon	Agamemnon
Agatha	Agathe
Aix‐la‐Chapelle	Aix‐la‐Chapelle
Ajax	Ajax
Albania	Albanie
Albanian	albanais
Albert	Albert
Alberta	Alberta
Alderney	Aurigny
Aleppo	Alep
Alexander	Alexandre
Alexandria	Alexandrie
Algeria	Algérie
Algerian	algérien
Algiers	Alger
Allumette Lake	lac aux Allumettes
All Hallows	Toussaint
All Saints' Day	Toussaint
Alost	Alost
Alpenrose	rhododendron
Alpinist	alpiniste
Alps	Alpes
Alsatian	Alsacien
Alva	Albe
Amazon	amazone
Amboina	Amboine
America	Amérique
American	américain
Americanize	américaniser
American Indian	Indien
Amsterdam	Amsterdam
Andalusia	Andalousie
Andalusian	andalou
Andalusian woman	Andalouse
Andorra	Andorre
Andorrian	andorran
Anglican	anglican
Anglicism	anglicisme
Anglo‐Saxon	anglo‐saxon
Angolan	angolais
Angolese	Angolais
Ann	Anne
Annunciation	Annonciation
Antarctic	Antarctique
Antarctic Ocean	océan Antarctique
Antichrist	antéchrist
Anticosti Island	Ile d'Anticosti
Antilles	Antilles
Antillian	antillais
Antioch	Antioche
Antony	Antoine
Antwerp	Anvers
Apennines	Apennins
Aphrodite	Aphrodite
Apocalypse	Apocalypse
Apollo	Apollon
Appalachian Mountains	Appalaches
April	avril
Aquarius	Verseau
Aquitaine	Aquitaine
Arab	Arabe
Arabia	Arabie
Arabian	arabe
Arabian woman	Arabe
Arabic	arabe
Arcadia	Arcadie
Archimedes	Archimède
Arctic	arctique
Arctic Ocean	océan Arctique
Ardennes	Ardennes
Argentina	Argentine
Argentine	argentin
Argentinean	argentin
Argus	Argus
Ariadne	Ariane
Aristotle	Aristote
Armenia	Arménie
Armenian	arménien
Armenian woman	Arménienne
Armorica	Armorique
Armstrong Creek	ruisseau Armstrong
Arras	Arras
Aryan	aryen
Asia	Asie
Asian	Asiate
Asian woman	Asiate
Asia Minor	Asie Mineure
Assumption	Assomption
Assyria	Assyrie
Assyrian	assyrien
Asturias	Asturies
Athabasca	Atabasca
Athena	Athènes
Athene	Athènes
Athenian	athénien
Athens	Athènes
Atlantean	atlantique
Atlantic	océan Atlantique
Atlantic Ocean	océan Atlantique
Atlas	Atlas
Attica	Attique
Augeas	Augias
August	août
Augustus	Auguste
Australia	Australie
Australian	australien
Australian woman	Australienne
Austria	Autriche
Austrian	autrichien
Aztec	aztèque
Babel	Babel
Babylon	Babel
Babylonia	Babylonie
Babylonian	babylonien
Bacchus	Bacchus
Baffin Bay	baie de Baffin
Baffin Island	Ile de Baffin
Balearic Islands	Baléares
Balinese	balinais
Balkans	Balkans
Baltic	balte
Baltic Sea	mer Baltique
Bantu	bantou
Barbados	Barbade
Barcelona	Barcelone
Bartolomew	Barthélemy
Basque	basque
Batavian	batave
Bavaria	Bavière
Bavarian	bavarois
Bay of Fundy	baie de Fundy
Beaufort Sea	mer de Beaufort
Bedouin	Bédouin
Belgian	belge
Belgian woman	Belge
Belgium	Belgique
Belgrade	Belgrade
Ben	Benoît
Benedict	Benoît
Benedict Brook	ruisseau Benedict
Benelux	Benelux
Bengal	Bengale
Berlin	Berlin
Berliner	Berlinois
Bermudas	Bermudes
Berne	Berne
Bernese	bernois
Bessarabia	Bessarabie
Bethlehem	Bethléem
Bible	Bible
Black Forest	Forêt‐Noire
Black Sea	Pont‐Euxine
Black Volta	Volta Noire
Bluebeard	Barbe‐Bleue
Boer	Afrikander
Bohemia	Bohême
Bohemian	bohémien
Bois‐le‐Duc	Bois‐le‐Duc
Bolivia	Bolivie
Bolivian	bolivien
Bosnia	Bosnie
Bosnian	bosniaque
Bosporus	Bosphore
Boundary Bay	baie chez Lepage
Boundary Hill	colline Boundary
Boundary Lakes	lacs de la Frontière
Brabant	Brabant
Brabantine	brabançon
Brazil	Brésil
Brazilian	brésilien
Bretagne	Bretagne
Breton	Breton
Britain	Grande‐Bretagne
British	britannique
British Columbia	Colombie‐Britannique
Briton	Britannique
Brittany	Bretagne
Bruges	Bruges
Brussels	Bruxelles
Buddha	Bouddha
Buddhism	bouddhisme
Buddhist	bouddhiste
Bujeault River	rivière Bujeault
Bulgar	Bulgare
Bulgarian	bulgare
Burma	Birmanie
Burmese	birman
Burmese woman	Birmane
Burwash Creek	ruisseau Burwash
Bushman	Boschiman
Byzantine	byzantin
Byzantium	Byzance
Cabot Strait	détroit de Cabot
Caesar	César
Cain	Caïn
Cairo	Le Caire
Caissie Cape	Cap‐des‐Caissie
Calabria	Calabre
California	Californie
Californian	californien
Calvary	Calvaire
Calvin	Calvin
Cambodia	Cambodge
Cambodian	cambodgien
Cambodian woman	Cambodgienne
Cameroon	Cameroun
Canaan	Chanaan
Canada	Canada
Canadian	canadien
Canadian woman	Canadienne
Canary Islands	îles Canaries
Candlemas	Chandeleur
Cape Breton Island	Ile du Cap‐Breton
Capitol	Capitole
Capricorn	Capricorne
Carpathians	Carpates
Carpathian mountains	Carpates
Carthage	Carthage
Carthaginian	carthaginois
