ABC	alfabeto
Abyssinia	Abissinia
Abyssinian	abissino
Acheron	Acheronte
Achilles	Achille
Achilles'	tallone d'Achille
Achilles'	tendine d'Achille
Adam	Adamo
Adam's	pomo d'Adamo
Adonis	Adone
Adriatic	Mar Adriatico
Adriatic	Mar Adriatico
Aeolus	Eolo
Afghan	afgano
Afghanistan	Afghanistan
Africa	Africa
African	africano
Aix‐la‐Chapelle	Aquisgrana
Ajax	Aiace
Alaska	Alasca
Albania	Albania
Albanian	albanese
Alexander	Alessandro
Alexandria	Alessandria d'Egitto
Algeria	Algeria
Algerian	algerino
Algiers	Algeri
All	Ognissanti
All	Ognissanti
All	il giorno dei Morti
Alps	Alpi
Alsace‐Lorraine	Alsazia‐Lorena
Alsatian	alsaziano
Amazon	Rio delle Amazzoni
America	America
American	americano
American	indiano
Anatolia	Anatolia
Andalusia	Andalusia
Andalusian	andaluso
Andes	Ande
Andorra	Andorra
Andorrian	andorrano
Angola	Angola
Angolan	angolano
Angolese	angolano
Annunciation	Annunciazone
Antarctic	Antartico
Antarctic	Oceano Antartico
Antilles	Antille
Antillian	delle Antille
Antwerp	Anversa
Apennines	Appennini
Apocalypse	Apocalisse
April	aprile
Arab	arabo
Arabia	Arabia
Arabian	arabo
Arabian	Mare Arabico
Arabic	arabo
Arcadia	Arcadia
Archimedes	Archimede
Arctic	Artico
Ardennes	Ardenne
Argentina	Argentina
Argentine	argentino
Aristotle	Aristotele
Armenia	Armenia
Armenian	armeno
Ascension	Ascensione
Asia	Asia
Asian	asiatico
Asiatic	asiatico
Asia	Anatolia
Assisi	Assisi
Assumption	Assunzione
Assyria	Assiria
Assyrian	assiro
Athena	Atene
Athene	Atene
Athenian	ateniese
Athens	Atene
Atlantic	Atlantico
Atlantic	Atlantico
Atlantis	Atlantide
August	agosto
Australia	Australia
Australian	australiano
Austria	Austria
Austrian	austriaco
Azerbaijan	Azerbaigian
Bacchus	Bacco
Balkans	Balcani
Baltic	Baltico
Belgian	belga
Belgium	Belgio
Berlin	Berlino
Bible	Bibbia
Brazil	Brasile
Brazilian	brasiliano
Bretagne	Bretagna
Britain	Gran Bretagna
Brittany	Bretagna
Burgundy	Borgogna
Burma	Birmania
Caesar	Cesare
Cain	Caino
Cairo	Cairo
Canada	Canadà
Canary	Canarie
Cape	Città del Capo
Capricorn	Capricorno
Carthage	Cartagine
Castile	Castiglia
Cato	Catone
Cerberus	Cerbero
Chile	Cile
China	Cina
Chinaman	cinese
Chinese	cinese
Christ	Cristo
Christian	cristiano
Christian	nome di battetismo
Christmas	Natale
Corsica	Corsica
Croatia	Croazia
Cyprus	Cipro
Czechoslovakia	Cecoslovacchia
Dalmatia	Dalmazia
Damascus	Damasco
Dane	danese
Danube	Danubio
December	dicembre
Denmark	Danimarca
Dublin	Dublino
Dutchman	olandese
East	est
Easter	Pasqua
Egypt	Egitto
England	Inghilterra
English	inglese
Englishman	inglese
Epiphany	Befana
Ethiopia	Etiopia
Europa	Europa
Europe	Europa
European	europeo
European	Unione Europea
Eva	Eva
Evening	Venere
February	febbraio
Finland	Finlandia
Finn	finlandese
France	Francia
French	francese
Frenchman	francese
Friday	venerdì
Gascony	Guascogna
Geneva	Ginevra
Genoa	Genova
German	tedesco
Germany	Germania
God	Dio
God's	camposanto
Great	Gran Bretagna
Greece	Grecia
Greek	greco
Greenland	Groenlandia
Guinea	Guinea
Hades	Ade
Hamburg	Amburgo
Holland	Olanda
Hollander	olandese
Hungarian	ungherese
Hungary	Ungheria
Iceland	Islanda
India	India
Indian	indiano
Indian	granturco
Indo‐China	Indocina
Ireland	Irlanda
Irishman	irlandese
Islam	Islam
Istria	Istria
Italian	italiano
Italy	Italia
January	gennaio
Japan	Giappone
Japanese	giapponese
Jericho	Gerico
Jerusalem	Gerusalemme
Jordan	Giordania
Joseph	Giuseppe
Joshua	Giosuè
Jove	Giove
July	luglio
June	giugno
Juno	Giunone
Jupiter	Giove
Koran	Corano
Korea	Corea
Kremlin	Cremlino
Lady	Annunciazone
Lapland	Lapponia
Latvia	Lettonia
Lebanon	Libano
Leghorn	Livorno
Lisbon	Lisbona
Lithuania	Lituania
Little	Cappuccetto Rosso
London	Londra
Lucifer	Satana
Machiavelli	Machiavelli
March	marzo
May	maggio
Mecca	Mecca
Messiah	Messia
Mexico	Messico
Mexico	Città del Messico
Milan	Milano
Mister	signore
Mohammed	Maometto
Monday	lunedì
Moscow	Mosca
Mr.	signore
Mrs.	signora
Muhammad	Maometto
Nebuchadnezzar	Nabucodonosor
Neptune	Nettuno
Newfoundland	Terranova
New	Nuova York
New	Nuova York
New	Nuova York
Nimrod	Nembrod
North	nord
North	America del Nord
Norway	Norvegia
Norwegian	norvegese
November	novembre
October	ottobre
Orkneys	Orcadi
Orkney	Orcadi
Orpheus	Orfeo
Pakistan	Pakistan
Paris	Parigi
Parthian	parziale
Po	Po
Poland	Polonia
Pole	polacco
Portugal	Portogallo
Portuguese	portoghese
Rhine	Reno
Rhineland	Renania
Rhine	chiatta
Roman	romano
Rome	Roma
Russia	Russia
