ABC	alfabet
Africa	Afrika
African	afrikansk
All	allhelgonadag
All	allhelgonadag
American	amerikansk
American	indian
Annunciation	bebådelsedag
Antarctic	Sydpolen
April	april
Arab	arab
Arabian	arabisk
Arabic	arabisk
Arctic	Nordpolen
Arctic	Ishavet
Armenia	Armenien
Ascension	Kristihimmelsfärdsdag
Asia	Asien
Asian	asiatisk
Asiatic	asiatisk
Atlantic	Atlanten
Atlantic	Atlanten
August	augusti
Australia	Australien
Australian	australisk
Austria	Österrike
Austrian	ostron
Baltic	baltisk
Baltic	Östersjön
Bavaria	Bajern
Bavarian	bajersk
Belgian	belgisk
Belgium	Belgien
Berlin	berlinsk
Bible	Bibel
Brazil	Brasilien
Brazilian	brasiliansk
Britain	Brittannien
British	brittisk
Briton	britt
Brussels	brysselkål
Bulgaria	Bulgarien
Canadian	kanadensare
Caspian	Kaspiskahavet
Catholic	katolik
Chinaman	kines
Chinese	kinesisk
Christ	Kristus
Christian	kristen
Christianity	kristendom
Christmas	jul
Copenhagen	Köpenhamn
Dalecarlia	Dalarna
Dane	dansk
Danish	dansk
December	december
Denmark	Danmark
Dutch	holländsk
Dutchman	holländare
East	orient
Easter	påsk
Egypt	Egypten
England	England
English	engelsk
Englishman	engelsman
Epiphany	trettondag
Eskimo	eskimå
Estonia	Estland
Europa	Europa
Europe	Europa
European	europeisk
Far	Ytterstaöstern
February	februar
Finland	Finland
Finn	finne
Finnish	finsk
Flanders	Flandern
Flemming	flamländare
France	Frankrike
French	fransk
Frenchman	fransman
Frenchwoman	fransyska
French	franska
Friday	fredag
Frisian	fris
German	tysk
Germanic	germansk
Germany	Tyskland
German	tyska
God	Gud
God	kyrkogård
Good	långfredag
Great	Brittannien
Greece	Grekland
Greek	grekisk
Greek	grekinna
Gulf	Bottenviken
Gypsy	tattare
H	vätebomb
Hebrew	judisk
Holland	Holland
Hollander	holländare
Hungarian	ungrare
Hungary	Ungern
Iceland	Island
Icelander	islänning
Icelandic	isländsk
India	Indien
Indian	indisk
Indian	majs
Ireland	Irland
Irish	irländsk
Irishman	irländare
Italian	italiensk
Italy	Italien
January	januari
Japanese	japanesisk
Javan	javanesisk
Javanese	javanesisk
Jew	jude
Jewish	judisk
July	juli
June	juni
Lady	bebådelsedag
Lapland	Lappland
Laplander	lapp
Lapp	lappländsk
Lappish	lappländsk
Latvia	Lettland
Little	Rödluva
Little	Snövit
Malay	malajisk
March	mars
Mason	frimurare
Mauretanian	mor
May	maj
Mediterranean	Medelhavet
Mexican	mexikan
Middle	medeltida
Miss	fröken
Mister	herr
Mohammedan	mohammedan
Monday	måndag
Mongolia	Mongoliet
Moor	mor
Mormon	mormon
Moscow	Moskva
Moslem	mohammedan
Mr	herr
Mr	herrskap
Mrs	fru
Muslim	mohammedan
Mussulman	mohammedan
Nazi	nazist
Negro	neger
New	nyår
North	nord
North	Nordamerika
North	Nordsjön
Norway	Norge
Norwegian	norsk
November	november
October	oktober
Oriental	orientalisk
Pacific	Söderhavet
Pacific	Söderhavet
Parisian	parisare
Parthian	andel
Pentecost	pingst
Persian	perser
Poland	Polen
Pole	polack
Polish	polsk
Portuguese	portugis
Protestant	protestant
Prussian	preussare
Rhine	rensktvin
Rhine	Rhen
Roman	romersk
Romania	Rumänien
Romanian	rumänsk
Rome	Rom
Rumanian	rumänsk
Russia	Ryssland
Russian	rysk
Sabbath	sabbat
Salvation	frälsningsamé
Sassenach	engelsman
Saturday	lördag
Scandinavia	Norden
Scandinavian	nordisk
Scot	skotte
Scotland	Skottland
Scotsman	skotte
Scottish	skotsk
Semitic	semitisk
September	september
Serb	serbisk
Siberia	Siberien
Siberian	siberisk
Sicily	Sicilien
Slavic	slavisk
South	Sydamerika
Spain	Spanien
Spaniard	spanjor
Spitsbergen	Spetsbergen
Sunday	söndag
Swede	svensk
Sweden	Sverige
Swedish	svensk
Swedish	svenska
Swiss	schweizisk
Switzerland	Schweiz
TV	television
Teutonic	germansk
Thursday	torsdag
Tuesday	tisdag
Turk	turk
Turkey	Turkiet
Twelfth	trettondag
USA	Förentastaterna
US	amerikan
Ukraine	Ukraina
United	Förentastaterna
Volt	volt
Walloon	vallon
Wednesday	onsdag
Wee	JonBlund
West	väst
West	Västindien
Whitsunday	pingst
Xanthippe	ragata
Yule	jul
ZIP	postnummer
a	i
abandon	lämna
abandoned	skamlös
abase	förnedra
abasement	förödmjukelse
abashed	blyg
abattoir	slakthus
abbess	abbedissa
abbey	abbotskloster
abbot	abbot
abdomen	buk
aberration	fel
abhor	avsky
abide	forvänta
ability	makt
abject	nedrig
abjure	arbeställa
able	kompetent
abnormal	abnorm
abode	boning
abolish	arbeställa
abominate	avsky
aboriginal	inhemsk
abort	klicka
abortion	abort
about	förändring
about	angående
above	redlig
above	norrom
abrade	hyvla
abridge	avgränsa
abroad	ute
abrogate	arbeställa
abrupt	oförhoppandes
absence	frånvaro
absent	frånvarande
absent	gesigiväg
absolute	absolut
absolutely	sannerligen
absolution	benådning
abstraction	stöld
abstruse	mysteriös
abundance	rikedom
abuse	skällaut
abysmal	hopplös
abyss	avgrund
academic	student
academy	akademi
accelerator	gastrampa
accelerator	gastrampa
accent	accent
accept	tackajatill
acceptance	accept
access	anfall
accession	förvärv
accidence	slump
accident	ofall
acclaim	applådera
acclamation	applåd
accommodating	behjälplig
accommodation	inredning
accomodate	fullborda
accompaniment	ackompanjemang
accomplish	ernå
accomplished	kompetent
accomplishment	dåd
accord	överenskommelse
accordance	överenskommelse
according	alltefter
according	alltefter
account	explikation
accountable	förklarlig
accountant	revisor
account	register
account	förklara
accredit	tro
accrue	härstamma
accumulation	hop
accumulator	batteri
accurate	ackurat
accusal	anklagelse
accusation	anklagelse
accusative	ackusativ
accuse	anklaga
accuser	klagande
accustomed	bruklig
acerbic	amper
acerbity	skärpa
ache	smäkta
achievable	görlig
achieve	förvärva
achievement	gärning
achromatic	färglös
acid	syra
acidify	surna
acknowledge	erkänna
acknowledgement	bekännelse
acorn	ekollon
acquaint	tillkännagiva
acquaintance	bekant
acquire	förvärva
acquirement	ackvisition
acquisition	ackvisition
acquisitive	begärlig
acquittal	avbetalning
