10000e	10000:a
1000e	1000:a
100e	100:a
10e	10:e
11e	11:e
12e	12:e
13e	13:a
14e	14:a
15e	15:a
16e	16:e
17e	17:a
17e parallèle	17:e breddgraden
18e	18:a
19e	19:a
1er	1:a
200e	200:a
20e	20:a
21e	21:a
22e	22:a
23e	23:a
24e	24:a
25e	25:a
29e	29:a
2d	2:a
2e	2:a
30e	30:a
38e parallèle	38:e breddgraden
3e	3:e
40e	40:a
49e parallèle	49:e breddgraden
4e	4:e
50e	50:a
5e	5:e
60e	60:a
6e	6:a
70e	70:a
77e	77:a
7e	7:a
80e	80:a
82e	82:a
8e	8:e
90e	90:a
97e	97:a
99e	99:a
9e	9:a
ABS	ABS
ADN	DNA
AOP	SUB
Aalen	Aalen
Aarhus	Århus
Abbeville	Abbeville
Abdias	Obadja
Abel	Abel
Abkhazie	Abchazien
Abraham	Abraham
Absurdistan	Absurdistan
Abu Dhabi	Abu Dhabi
Abu Dhabi	Abu Dhabi
Abyssinie	Abessinien
Acadie	Akadien
Achernar	Achernar
Achille	Akilles
Actes des Apôtres	Apostlagärningarna
Adam	Adam
Addis-Abeba	Addis Abeba
Adonis	Adonis
Adrastée	Adrastea
Afar	afar
Afghanistan	Afghanistan
Africain	afrikan
Afrique	Afrika
Afrique du Nord	Nordafrika
Afrique du Sud	Sydafrika
Afro-Américain	afroamerikan
Agathias	Agathias
Agde	Agde
Agen	Agen
Aggée	Haga
Ain	Ain
Aisne	Aisne
Aix-en-Provence	Aix-en-Provence
Aix-la-Chapelle	Aachen
Ajaccio	Ajaccio
Ajman	Ajman
Alaskain	alaskier
Albanais	alban
Albanie	Albanien
Albert	Albert
Albi	Albi
Albiorix	Albiorix
Alcibiade	Alkibiades
Alep	Aleppo
Alexandre	Alexander
Alexandrie	Alexandria
Alger	Alger
Algérie	Algeriet
Algérien	algerier
Algérienne	algeriska
Allah	Allah
Allemagne	Tyskland
Allemagne de l’Est	Östtyskland
Allemagne de l’Ouest	Västtyskland
Allemand	tysk
Allier	Allier
Almaty	Almaty
Alpes	Alperna
Alpes-Maritimes	Alpes-Maritimes
Alpes-de-Haute-Provence	Alpes-de-Haute-Provence
Alphonse	Alfons
Alsace	Alsace
Alsacien	elsassare
Amalthée	Amalthea
Amazone	Amazonfloden
Amazonie	Amazonas
Amman	Amman
Amos	Amos
Amour	Amur
Amsterdam	Amsterdam
Américain	amerikan
Américaine	amerikanska
Amérique	Amerika
Amérique du Nord	Nordamerika
Amérique du Sud	Sydamerika
Anastasie	Anastasia
Anatolie	Anatolien
Ancien Testament	Gamla Testamentet
Andalousie	Andalusien
Andorre	Andorra
Andorre-la-Vieille	Andorra la Vella
Andromaque	Andromache
André	Andreas
Anglais	engelsman
Angleterre	England
Angleterre de l’Est	Östra England
Angleterre du Nord-Est	Nordöstra England
Angleterre du Nord-Ouest	Nordvästra England
Angleterre du Sud-Est	Sydöstra England
Angleterre du Sud-Ouest	Sydvästra England
Anglo-Saxon	anglosaxare
Angola	Angola
Angoulême	Angoulême
Angrboda	Angerboda
Anguilla	Anguilla
Angèle	Angela
Angélique	Angelica
Ankara	Ankara
Anne	Anna
Antarctique	Antarktis
Antechinus	Antechinus
Anthropocène	antropocen
Antici	Antici
Antigua-et-Barbuda	Antigua och Barbuda
Antilles néerlandaises	Nederländska Antillerna
Antoine	Anton
Anvers	Antwerpen
Apiacées	flockblommiga växter
Apocalypse	Uppenbarelseboken
Arabe	arab
Arabie	Arabien
Arabie saoudite	Saudiarabien
Aragon	Aragonien
Arberèches	Arberesjer
Arcadie	Arkadien
Archimède	Arkimedes
Archéen	arkeisk
Ardennes	Ardennes
Ardèche	Ardèche
Argentin	argentinare
Argentine	Argentina
Ariane	Ariadne
Ariel	Ariel
Aristophane	Aristofanes
Aristote	Aristoteles
Ariège	Ariège
Arkansas	Arkansas
Arlequin	Harlekin
Arles	Arles
Arménie	Armenien
Arménien	armenier
Artémis	Artemis
Aruba	Aruba
Ascension	Kristi himmelsfärds dag
Asiatique	asiat
Asie	Asien
Asie centrale	Centralasien
Asie de l’Ouest	Västasien
Asie du Sud	Sydasien
Asie du Sud-Est	Sydostasien
Assyrie	Assyrien
Astrakhan	Astrachan
Athènes	Aten
Athénien	atenare
