ADN	DNA
Aalandais	Alandlı
Aalandaise	Alandlı
Aaron	Harun
Abel	Habil
Abkhazie	Abhazya
Abraham	İbrahim
Abyssinie	Habeşistan
Achernar	Ağız
Achille	Akhilleus
Adam	Âdem
Addis-Abeba	Addis Ababa
Adrastée	Adrastea
Afghanistan	Afganistan
Africain	Afrikalı
Afrique	Afrika
Afrique du Sud	Güney Afrika Cumhuriyeti
Agathias	Agathias
Aigle	Kartal
Ain	Ain
Aisne	Aisne
Aix-en-Provence	Aix-en-Provence
Aix-la-Chapelle	Aachen
Ajaccio	Ajaccio
Al-Qaïda	El Kaide
Albanie	Arnavutluk
Albiorix	Albiorix
Alep	Halep
Alexandre	İskender
Alexandre le Grand	Büyük İskender
Alexandrette	İskenderun
Alexandrie	İskenderiye
Alger	Cezayir
Algérie	Cezayir
Algérien	Cezayirli
Allah	Allah
Allemagne	Almanya
Allemagne de l’Ouest	Batı Almanya
Allemand	Alman
Allier	Allier
Almaty	Almatı
Alpes	Alpler
Alpes-Maritimes	Alpes-Maritimes
Alpes-de-Haute-Provence	Alpes-de-Haute-Provence
Alsace	Alsas
Amalthée	Amalthea
Amazone	Amazon Nehri
Amman	Amman
Amour	Amur
Amsterdam	Amsterdam
Amédée	Ahmet
Américain	Amerikalı
Amérique	Amerika
Amérique du Nord	Kuzey Amerika
Amérique du Sud	Güney Amerika
Anatolie	Anadolu
Ancien Monde	Eski Dünya
Andalousie	Endülüs
Andorre	Andorra
Andorre-la-Vieille	Andorra la Vella
Andromaque	Andromahi
Andromède	Andromeda
Anglais	İngiliz
Angleterre	İngiltere
Angleterre du Nord-Est	Kuzey Doğu İngiltere
Angleterre du Nord-Ouest	Kuzey-Batı İngiltere
Angleterre du Sud-Est	Güney Doğu İngiltere
Angola	Angola
Anguilla	Anguilla
Ankara	Ankara
Antarctique	Antarktika
Antigua-et-Barbuda	Antigua ve Barbuda
Antiguais	Antigualı
Antilles néerlandaises	Hollanda Antilleri
Antioche	Antakya
Antoine	Antümi
Anvers	Antwerp
Apiacées	maydanozgiller
Arabe	Arap
Arabie	Arabistan
Arabie saoudite	Suudi Arabistan
Aragon	Aragon
Ararat	Ağrı Dağı
Arcadie	Arkadia
Archimède	Arşimet
Ardennes	Ardennes
Ardèche	Ardèche
Argentin	Arjantinli
Argentine	Arjantin
Ariel	Ariel
Aristote	Aristo
Ariège	Ariège
Arkhangelsk	Arhangelsk
Arlequin	Harlequin
Arménie	Ermenistan
Arménien	ermeniler
Arnaoute	arnavut
Art nouveau	Art Nouveau
Artémis	Artemis
Aruba	Aruba
Arubéen	Arubalı
Asiatique	Asyalı
Asie	Asya
Asie du Sud	Güney Asya
Asie du Sud-Est	Güneydoğu Asya
Assyrie	Asur
Astérix	Asteriks
Athènes	Atina
Atlantique	Atlantik
Atlas	Atlas
Attila	Attila
Aube	Aube
Aude	Aude
Australie	Avustralya
Australie-Méridionale	Güney Avustralya
Australie-Occidentale	Batı Avustralya
Autel	Sunak
Autriche	Avusturya
Autriche-Hongrie	Avusturya-Macaristan
Autrichien	Avusturyalı
Aveyron	Aveyron
Avignon	Avignon
Azerbaïdjan	Azerbaycan
Açores	Azorlar
Aïd el-Kebir	Kurban Bayramı
BDSM	BDSM
Babel	Babil
Babylone	Babil
Bachkirie	Başkurdistan
Bagdad	Bağdat
Bahamas	Bahama
Bahreïn	Bahreyn
Bakou	Bakü
Balance	Terazi
Baleine	Balina
Balkans	Balkanlar
Bamako	Bamako
Bande de Gaza	Gazza seridi
Bangkok	Bangkok
Bangladesh	Bangladeş
Banjul	Banjul
Barbade	Barbados
Barcelone	Barselona
Basque	Basklar
Basse-Normandie	Aşağı Normandiya
Basse-Saxe	Niedersachsen
Bavière	Bavyera
Bebhionn	Bebhionn
Belfast	Belfast
Belge	Belçikalı
Belgique	Belçika
Belgrade	Belgrad
Belize	Belize
Benghazi	Bingazi
Bergelmir	Bergelmir
Berlin	Berlin
Bermudes	Bermuda
Bessarabie	Besarabya
Bestla	Bestla
Bethléem	Betlehem
Beyrouth	Beyrut
Bhoutan	Butan
Bianca	Bianca
Bible	Kitab-ı Mukaddes
Bichkek	Bişkek
Bilbao	Bilbao
Birmanie	Birmanya
Birmingham	Birmingham
Biscaye	Biskay
Biélorussie	Beyaz Rusya
Blanche-Neige	Pamuk
Bohême	Bohemya
Bolivie	Bolivya
Bolivien	Bolivyalı
Bologne	Bologna
Bombay	Mumbai
Bornholm	Bornholm
Bornéo	Borneo
Bosnie-Herzégovine	Bosna ve Hersek
Bosphore	İstanbul Boğazı
Boston	Boston
Botswana	Botsvana
Bouches-du-Rhône	Bouches-du-Rhône
Bouddha	Buda
Bourgas	Burgaz
Bourgogne	Burgonya
Bouriatie	Buryatya
Boussole	Kumpas
Bouvier	Çoban
Bratislava	Bratislava
Bretagne	Breton
Brunei	Brunei
Bruxelles	Brüksel
Brésil	Brezilya
Brême	Bremen
Bucarest	Bükreş
Budapest	Budapeşte
Bulgare	Bulgar
Bulgarie	Bulgaristan
Burin	Çelikkalem
Burkina Faso	Burkina Faso
Burundi	Burundi
Bégonia	Begonya
Bélier	Koç
Bélinda	Belinda
Bénin	Benin
Bételgeuse	Betelgeuse
CEE	AET
Calabre	Calabria
Caliban	Caliban
Californie	Kaliforniya
Callisto	Callisto
Calvados	Calvados
Calypso	Calypso
Cambodge	Kamboçya
Cameroun	Kamerun
Caméléon	Bukalemun
Canada	Kanada
Canadien	Kanadalı
Canaries	Kanarya Adaları
Canberra	Canberra
Cancer	Yengeç
Candie	Kandiye
Cantique des Cantiques	Ezgiler Ezgisi
Cap-Vert	Kap Verde
Cappadoce	Kapadokya
Capricorne	Oğlak
Captain America	Kaptan Amerika
Caracas	Karakas
Carbonifère	karbonifer
Carcassonne	Carcassonne
Cardiff	Cardiff
Carpates	Karpatlar
Carène	Karina
Carélie	Karelya
Cassiopée	Kraliçe
Catalogne	Katalonya
Catwoman	Kedi Kadın
Caucase	Kafkasya
Caïn	Kabil
Cendrillon	Külkedisi
Centaure	Erboğa
Charlemagne	Şarlman
Charon	Charon
Chicago	Chicago
Chiens de chasse	Av Köpekleri
Chili	Şili
Chine	Çin
Chinois	Çinli
Chitral	Çitral
Christophe	Kristof
Chronos	Kronos
Chypre	Kıbrıs
