Abissinia	Abessinien
Acheronte	Acheron
Achille	Achilles
Adamo	Adam
Adige	Etsch
Afghanistan	Afghanistan
Africa	Afrika
Alasca	Alaska
Albania	Albanien
Algeria	Algerien
Alpi	Alpen
Alsace	Elsass
Alsazia	Elsass‐Lothringen
Amburgo	Hamburg
America	Amerika
America	Südamerika
Anatolia	Anatolien
Ande	Anden
Andorra	Andorra
Angola	Angola
Annunciazone	Mariä Verkündigung
Antille	Antillen
Appennini	Apenninen
Aquisgrana	Aachen
Arabia	Arabien
Ardenne	Ardennen
Argentina	Argentinien
Armenia	Armenien
Asia	Asien
Assiria	Assyrien
Atene	Athen
Atlantico	Atlantischer Ozean
Australia	Australien
Austria	Österreich
Azerbaigian	Aserbaidschan
Balcani	Balkan
Baltico	Baltisches Meer
Befana	Dreikönigsfest
Belgio	Belgien
Berlino	Berlin
Bibbia	Bibel
Birmania	Birma
Borgogna	Burgund
Brasile	Brasilien
Bretagna	Bretagne
Cairo	Kairo
Canad	Kanada
Canarie	Kanarische Inseln
Capricorno	Steinbock
Castiglia	Kastilien
Cerbero	Zerberus
Cesare	Cäsar
Cile	Chile
Cina	China
Cipro	Zypern
Corano	Koran
Corea	Korea
Corsica	Korsika
Cristo	Christus
Croazia	Kroatien
Danimarca	Dänemark
Danubio	Donau
Dio	Gott
Egitto	Ägypten
Epifania	Dreikönigsfest
Etiopia	Äthiopien
Europa	Europa
Francia	Frankreich
Galles	Wales
Genova	Genua
Germania	Deutschland
Ginevra	Genf
Gran	Britannien
Grecia	Griechenland
Groenlandia	Grönland
IVA	Mehrwehrtsteuer
Iddio	Gott
India	Indien
Indocina	Hinterindien
Inghilterra	England
Irlanda	Irland
Islam	Islam
Islanda	Island
Italia	Italien
Iugoslavia	Jugoslawien
Lapponia	Lappland
Lituania	Litauen
Londra	London
L	Haag
Mar	Adria
Mar	Ägäisches Meer
Messia	Messias
Milano	Mailand
Natale	Weihnachten
Norvegia	Norwegen
Ognissanti	Allerheiligen
Olanda	Holland
Olandese	Holländer
Parigi	Paris
Pasqua	Ostern
Polonia	Polen
Portogallo	Portugal
Reno	Rhein
Roma	Rom
Russia	Russland
Satana	Satanas
Scozia	Schottland
Sicilia	Sizilien
Spagna	Spanien
Stati	Vereinigte Staaten
Stoccolma	Stockholm
Svezia	Schweden
Svizzera	Schweiz
Ticino	Tessin
Turchia	Türkei
Ungheria	Ungarn
Unione	Europäische Union
Venecia	Venedig
Venere	Venus
Vienna	Wien
Zurigo	Zürich
