crazia	κρατία
fobia	φοβία
ismo	ισμός
izzare	ίζω
lisi	λυση
mente	α
Abacuc	Αββακούμ
Abramo	Αβραάμ
Acquario	Υδροχόος
Adamo	Αδάμ
Adolfo	Αδόλφος
Adriano	Αδριανός
Afghanistan	Αφγανιστάν
Africa	Αφρική
Ageo	Αγγαίος
Agesilao	Αγησίλαος
Alabama	Αλαμπάμα
Alaska	Αλάσκα
Albania	Αλβανία
Alberto	Άλβέρτος
Alessandra	Αλεξάνδρα
Alessandria	Αλεξάνδρεια
Alessandro	Αλέξανδρος
Alessia	Αλεξία
Alessio	Άλεξις
Alfonso	Αλφόνσος
Alfredo	Αλφρέδος
Algeria	Αλγερία
Alpi	Άλπεις
Alsazia	Αλσατία
Alto Adige	Νότιο Τιρόλο
Ambrogio	Αμβρόσιος
Amburgo	Αμβούργο
America	Αμερική
America Latina	Λατινική Αμερική
America del Nord	Βόρεια Αμερική
Amos	Αμώς
Anatolia	Ανατολία
Andorra	Ανδόρρα
Andrea	Ανδρέας
Angelica	Αγγελική
Angelo	Άγγελος
Angola	Ανγκόλα
Anguilla	Ανγκουίλα
Anna	Άννα
Annunciazione	Ευαγγελισμός
Antartide	Ανταρκτική
Antille Olandesi	Ολλανδικές Αντίλλες
Antonio	Αντώνιος
Anversa	Αμβέρσα
Appennini	Απέννινα
Aquario	Υδροχόος
Aquisgrana	Άαχεν
Arabia Saudita	Σαουδική Αραβία
Archimede	Αρχιμήδης
Argentina	Αργεντινή
Ariete	Κριός
Aristotele	Αριστοτέλης
Arizona	Αριζόνα
Arles	Αρλ
Armenia	Αρμενία
Arturo	Αρθούρος
Aruba	Αρούμπα
Ascensione	ανάβαση
Asia	Ασία
Asia orientale	ανατολική Ασία
Assam	Ασσάμ
Asturie	Αστούριες
Atti degli Apostoli	Πράξεις των Αποστόλων
Australia	Αυστραλία
Austria	Αυστρία
Babbo Natale	Άγιος Βασίλης
Babilonia	Βαβυλώνα
Balcani	Βαλκάνια
Baldassarre	Βαλτάσαρ
Baltimora	Βαλτιμόρη
Bangkok	Μπανγκόκ
Bartolomeo	Βαρθολομαίος
Basilio	Βασίλειος
Bassa Sassonia	Κάτω Σαξονία
Bauhaus	Μπάουχαους
Baviera	Βαυαρία
Belgio	Βέλγιο
Belgrado	Βελιγράδι
Beniamino	Βενιαμίν
Berlino	Βερολίνο
Berna	Βέρνη
Bibbia	Αγία Γραφή
Bielorussia	Λευκορωσία
Bilancia	Ζυγός
Birmania	Βιρμανία
Bisanzio	Βυζάντιο
Bolivia	Βολιβία
Bologna	Μπολόνια
Bolzano	Μπολτζάνο
Bonn	Βόννη
Bosnia ed Erzegovina	Βοσνία και Ερζεγοβίνη
Botswana	Μποτσουάνα
Brasile	Βραζιλία
Bretagna	Βρετάνη
Britannia	Βρετανία
Bulgaria	Βουλγαρία
CEE	ΕΟΚ
CPU	ΚΜΕ
CVD	όέδ
Cafarnao	Καπερναούμ
Calabria	Καλαβρία
Calcutta	Καλκούτα
California	Καλιφορνία
Cambogia	Καμπότζη
Campania	Καμπανία
Canada	Καναδάς
Cancro	Καρκίνος
Cantico dei Cantici	Άσμα Ασμάτων
Canton	Γκουανγκντόνγκ
Cappadocia	Καππαδοκία
Capricorno	Αιγόκερως
Caraibi	Καραϊβική
Carinzia	Καρινθία
Carpazi	Καρπάθια Όρη
Cartagine	Καρχηδόνα
Cassiopea	Κασσιόπεια
Catalogna	Καταλονία
Catania	Κατάνια
Caucaso	Καύκασος
Cechia	Τσεχία
Cecoslovacchia	Τσεχοσλοβακία
Cenacolo	Cenacolo
Cenerentola	Σταχτοπούτα
Cerere	Δήμητρα
Cesare	Καίσαρας
Chicago	Σικάγο
