Afrika	Africa
Armenien	Armenia
Asien	Asia
Atlanten	Atlantic
Australien	Australia
Bajern	Bavaria
Belgien	Belgium
Bibel	Bible
Bottenviken	Gulf of Bothnia
Bottniska viken	Gulf of Bothnia
Brasilien	Brazil
Brittannien	Britain
Bulgarien	Bulgaria
Dalarna	Dalecarlia
Danmark	Denmark
Egypten	Egypt
England	England
Estland	Estonia
Europa	Europa
Finland	Finland
Flandern	Flanders
Frankrike	France
Förenta staterna	United States of America
Grekland	Greece
Gud	God
Holland	Holland
Indien	India
Irland	Ireland
Ishavet	Arctic Ocean
Island	Iceland
Italien	Italy
Jon Blund	the Dustman
Kaspiska havet	Caspian Sea
Kristi himmelsfärdsdag	Ascension Day
Kristus	Christ
Köpenhamn	Copenhagen
Lappland	Lapland
Lettland	Latvia
Medelhavet	Mediterranean
Mongoliet	Mongolia
Nederländerna	Holland
Nordamerika	North America
Norden	Scandinavia
Nordpolen	Arctic
Nordsjön	North Sea
Norge	Norway
Polen	Poland
Rhen	Rhine
Rom	Rome
Rumänien	Romania
Ryssland	Russia
Rödluva	Little Red Ridinghood
Schweiz	Switzerland
Siberien	Siberia
Sicilien	Sicily
Skandinavien	Scandinavia
Skottland	Scotland
Snövit	Little Snow White
Spanien	Spain
Spetsbergen	Spitsbergen
Storbrittannien	Britain
Sverige	Sweden
Sydamerika	South America
Sydpolen	Antarctic
Söderhavet	Pacific
TV	television
Turkiet	Turkey
Tyskland	Germany
‐bar	‐able
‐lös	‐less
USA	United States of America
Ukraina	Ukraine
Ungern	Hungary
Västindien	West Indies
Yttersta östern	Far East
abbedissa	abbess
abborre	bass
abbot	abbot
abbotskloster	abbey
abnorm	deformed
abonnemang	subscription
abonnent	subscriber
abonnera	subscribe
absolutist	teetotaller
accent	accent
accept	acceptance
accis	excise
ack	ah
ackja	reindeer‐sledge
ackompanjemang	accompaniment
ackord	chord
ackurat	accurate
ackusativ	accusative
ackuschör	obstetrician
ackuschörska	midwife
ackvisition	acquirement
addition	addition
adel	nobility
aderton	eighteen
adertonde	eighteenth
adjektiv	adjective
adjunkt	curate
adjutant	adjutant
adjö	adieu
adjö så länge	bye
adlig	of noble birth
administratör	manager
adress	address
adressant	sender
adressera	address
adresskalender	address list
adresskort	dispatch note
adresslapp	dispatch note
adverb	adverb
affektation	affectation
affisch	notice
affischera	placard
affär	affair
affärsförbindelse	business relation
affärsgata	shopping street
affärshus	company
affärsman	businessman
affärsvän	business friend
afrikan	African
afrikansk	African
afton	evening
aftonbön	night prayers
aftonmåltid	evening meal
aga	castigation
agent	agent
agentur	agency
agg	discontent
agitation	agitation
agn	bait
aja sig	groan
akademi	academy
aktie	share
aktiv	active
aktris	actress
aktör	actor
akvarell	water‐colour
akvavit	brandy
akvedukt	aqueduct
al	alder
alarm	alarm
alarmere	alarm
aldrig	never
alfabet	alphabet
alg	alga
alkohol	alcohol
allaredan	already
alldaglig	daily
alldeles	at all
alldeles icke	not at all
allegorisk	allegoric
allehanda	all
allestädes	all about
allhelgonadag	All Hallows
allians	alliance
allmakt	omnipotence
allmogespråk	dialect
allmosa	alms
allmän	public
allmänhet	generality
allrådande	almighty
allsmäktig	almighty
alls icke	not at all
allt	universe
alltefter	according as
alltemellanåt	several times
alltför	too
alltid	always
alltifrån	from
allting	all
alludera	allude
allvarlig	earnest
allvetande	all‐knowing
allé	avenue
alm	elm
almanacka	almanac
alster	product
alstra	afford
alstring	production
altan	balcony
altare	altar
alternativ	alternative
altröst	contralto
altstämma	contralto
alun	alum
amatör	amateur
ambition	ambition
ambitiös	ambitious
amerikan	American
amerikansk	American
amfiteatro	amphitheatre
amiral	admiral
ammunition	munition
amt	district
analogi	analogy
analys	analysis
anamma	get
ananas	pineapple
anarkist	anarchist
anatomisk	anatomical
anbefalla	commend
anbefallning	recommendation
anblick	appearance
and	duck
anda	spirit
andas	breathe
ande	mind
andel	part
andhämtning	respiration
andlig	mental
andlös	breathless
andning	respiration
andra	second
andre	second
anekdot	anecdote
anemi	anaemia
anfall	access
anfalla	assault
anföra	cite
anförande	citation
anförare	boss
anföringstecken	inverted comma
anförvant	relative
angenäm	agreeable
angrepp	access
angripare	aggressor
angående	about
anhang	adherents
anhörig	affined
anhålla	arrest
aning	suspicion
anis	anise
anka	duck
ankare	anchor
ankel	ankle
anklaga	accuse
anklagelse	accusal
ankomst	arrival
anlete	face
anlopp	crush
anmoda	ask
anmodan	request
anmäla	advertise
anmälan	ad
anmärkningsvärd	noteworthy
annalkande	approach
annan	other
annanstans	elsewhere
annons	ad
annonsera	advertise
annorlunda	differently
annorstädes	elsewhere
annotationsbok	notebook
annotera	note
anonym	anonymous
anropa	appeal to
ansa	attend
anse	account
ansedd	dear
anseende	appearance
ansikte	face
ansjovis	anchovy
anslag	notice
anslagstavia	bill‐board
ansluta	combine
anslående	agreeable
anspela	allude
anspelning	allusion
anstöt	offence
anstötlig	aggravating
anstånd	adjournment
ansvar	responsibility
ansvarig	accountable
ansöka	ask
anta	guess
antagande	suspicion
antaglig	suspicious
antal	amount
anteckna	note
antikvitetshandlare	antique dealer
antända	kindle
använda	employ
apa	ape
apel	apple‐tree
apelsin	orange
apostel	apostle
apotek	chemist's shop
apotekare	chemist
apparat	apparatus
appell	appeal
applåd	acclaim
applådera	acclaim
aprikos	apricot
april	April
apropå	by the way
aptit	appetite
arab	Arab
arabisk	Arabian
arbeställa	abjure
arbeta	work
arbetare	hand
arbete	job
arbeterska	female laborer
arbetsam	diligent
arbetsgivare	employer
arbetslös	unemployed
arbetstagare	employee
areal	area
arg	angry
aritmetik	arithmetic
arkipelag	archipelago
arkitekt	architect
arkiv	archive
arkivarie	archivist
arm	arm
armband	bracelet
armbandsur	watch
armbåge	elbow
armhåla	armpit
armod	poverty
armé	army
arrangera	arrange
arrendator	farmer
arrende	farm
arrestera	arrest
art	character
artificiell	artificial
