-aktig	-âtre
-are	plus
-arki	-archie
-bar	-able
-cid	-cide
-ell	-al
-era	-er
-eri	-erie
-fiera	-ifier
-fil	-phile
-grafi	-graphie
-gram	-gramme
-i	-ie
-isera	-iser
-ism	-isme
-ist	-iste
-krat	-crate
-krati	-cratie
-log	-logue
-logi	-logie
-ol	-ol
-onym	-onyme
-s	de
-tek	-thèque
-tris	-trice
-ör	-eur
3D-skrivare	imprimante 3D
A-dur	la majeur
ADHD	TDAH
Aachen	Aix-la-Chapelle
Abchazien	Abkhazie
Abidjan	Abidjan
Abu Dhabi	Abou Dabi
Accra	Accra
Adam	Adam
Addis Abeba	Addis-Abeba
Adriatiska havet	mer Adriatique
Afghanistan	Afghanistan
Afrika	Afrique
Afrikas horn	Corne de l’Afrique
Afrodite	Aphrodite
Akterskeppet	Poupe
Albanien	Albanie
Albert	Albert
Alexander	Alexandre
Alfons	Alphonse
Alger	Alger
Algeriet	Algérie
Alingsås	Alingsås
Alla vägar bär till Rom.	Tous les chemins mènent à Rome.
Allah	Allah
Allt är inte guld som glimmar.	Tout ce qui brille n'est pas or.
Alperna	Alpes
Alsace	Alsace
Altaret	Autel
Alzheimers sjukdom	maladie d’Alzheimer
Amerika	Amérique
Amerikanska Jungfruöarna	Iles Vierges américaines
Amerikanska Samoa	Samoa américaines
Amerikas förenta stater	États-Unis d'Amérique
Amman	Amman
Amsterdam	Amsterdam
Anderna	Andes
Anders	André
Andorra	Andorre
Andorra la Vella	Andorre-la-Vielle
Andromeda	Andromède
Angola	Angola
Anguilla	Anguilla
Ankara	Ankara
Ankeborg	Donaldville
Anna	Anne
Antarktis	Antarctique
Antigua och Barbuda	Antigua-et-Barbuda
Antikrist	antéchrist
Anton	Antoine
Antwerpen	Anvers
Apollon	Apollon
Appalacherna	Appalaches
Arabiska havet	mer Arabique
Argentina	Argentine
Arkansas	Arkansas
Arktis	Arctique
Armenien	Arménie
Arons skägg	saxifrage stolonifère
Artemis	Artémis
Aruba	Aruba
Asien	Asie
Asunción	Assomption
Aten	Athènes
Atlanten	Atlantique
Australien	Australie
Azerbajdzjan	Azerbaïdjan
Azorerna	Açores
B-lag	équipe réserve
BDSM	BDSM
Bagdad	Bagdad
Bahamas	Bahamas
Bahrain	Bahreïn
Baku	Bakou
Balearerna	Îles Baléares
Bangkok	Bangkok
Bangladesh	Bangladesh
Banjul	Banjul
Barbados	Barbade
Barcelona	Barcelone
Barcelonabo	Barcelonais
Basseterre	Basseterre
Behemot	Béhémoth
Beirut	Beyrouth
Belarus	Biélorussie
Belgien	Belgique
Belgrad	Belgrade
Belize	Belize
Belmopan	Belmopan
Benelux	Benelux
Benin	Bénin
Berenikes hår	Chevelure de Bérénice
Bergen	Bergen
Berlin	Berlin
Bermuda	Bermudes
Bern	Berne
Betlehem	Bethléem
Bhutan	Bhoutan
Big Bang	big-bang
Bildhuggaren	Sculpteur
Bisjkek	Bichkek
Björnvaktaren	Bouvier
Bodensjön	lac de Constance
Bolivia	Bolivie
Bombay	Bombay
Borneo	Bornéo
Bornholm	Bornholm
Bosnien	Bosnie
Bosnien och Hercegovina	Bosnie-Herzégovine
Bosnien-Hercegovina	Bosnie-Herzégovine
Botswana	Botswana
Bottniska viken	golfe de Botnie
Brasilien	Brésil
Bratislava	Bratislava
Brazzaville	Brazzaville
Bridgetown	Bridgetown
Brittiska Jungfruöarna	Iles Vierges britanniques
Bryssel	Bruxelles
Budapest	Budapest
Buenos Aires	Buenos Aires
Bukarest	Bucarest
Bulgarien	Bulgarie
Burkina Faso	Burkina Faso
Burma	Birmanie
Burundi	Burundi
Bägaren	Coupe
Bättre sent än aldrig.	Mieux vaut tard que jamais.
Böhmen	Bohême
C-dur	do majeur
Calcutta	Calcutta
Canberra	Canberra
Canossa	Canossa
Cardiff	Cardiff
Cassiopeja	Cassiopée
Castries	Castries
Centralafrikanska republiken	République centrafricaine
Centraleuropa	Europe centrale
Cepheus	Céphée
Chile	Chili
Chișinău	Chişinău
Cirkelpassaren	Compas
Ciss-dur	do dièse majeur
Colombia	Colombie
Cooköarna	îles Cook
Cornwall	Cornouailles
Costa Rica	Costa Rica
Coulombs lag	loi de Coulomb
Cypern	Chypre
D-dur	ré majeur
D-mark	deutschemark
DVD	DVD
Dakar	Dakar
Dalarna	Dalécarlie
Damaskus	Damas
Daniel	Daniel
Danmark	Danemark
David	David
Deimos	Déimos
Delfinen	Dauphin
Den enes död är den andres bröd.	Le malheur des uns fait le bonheur des autres.
Den som gapar efter mycket mister ofta hela stycket.	Qui trop embrasse mal étreint.
Det börjar med en knappnål och slutar med en silverskål.	Qui vole un œuf vole un bœuf.
Det man inte har i huvudet får man ha i benen.	Quand on n’a pas de tête il faut avoir des jambes.
Djibouti	Djibouti
Djävulen sitter i detaljerna.	Le diable est dans les détails.
Dominica	Dominique
Dominikanska republiken	République dominicaine
Donau	Danube
Dorotea	Dorothée
Draken	Dragon
Dresden	Dresde
Dublin	Dublin
Duvan	Colombe
Döda havet	mer Morte
E-dur	mi majeur
EU-val	élections européennes
Ecuador	Équateur
Edinburgh	Édimbourg
Edvard	Édouard
Efter regn kommer solsken.	Après la pluie, le beau temps.
Egentliga Finland	Finlande propre
Egypten	Égypte
Ekvatorialguinea	Guinée équatoriale
El Salvador	Salvador
Eldslandet	Terre de Feu
Elfenbenskusten	Côte d'Ivoire
Elisabeth	Élisabeth
En svala gör ingen sommar.	Une hirondelle ne fait pas le printemps.
Endymion	Endymion
England	Angleterre
Eratosthenes såll	crible d'Ératosthène
Erik	Éric
Eritrea	Érythrée
Esra	Esdras
Ester	Esther
Estland	Estonie
Etiopien	Éthiopie
Eufrat	Euphrate
Eurasien	Eurasie
Europa	Europe
Europaparlamentet	Parlement européen
Europaparlamentsval	élection européenne
Europeiska unionen	Union européenne
F-dur	fa majeur
Falklandsöarna	Malouines
Fiji	Fidji
Filip	Philippe
Filippinerna	Philippines
Finland	Finlande
Finns det hjärterum finns det stjärterum.	Vouloir c'est pouvoir.
Fiskarna	Poissons
Florens	Florence
Fourierserie	série de Fourier
Frankfurt	Francfort
Frankrike	France
Franska Guyana	Guyane française
Franska Polynesien	Polynésie française
Freetown	Freetown
Frälsaren	Sauveur
Färöarna	îles Féroé
Förbundsrepubliken Tyskland	République Fédérale d’Allemagne
Förenade Arabemiraten	Émirats Arabes Unis
Förenade konungariket Storbritannien och Nordirland	Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
Förenade kungariket	Royaume-Uni
Förenade kungariket Storbritannien och Nordirland	Royaume-Uni
Förenta staterna	États-Unis
G-dur	sol majeur
GHB	GHB
Gabon	Gabon
Gallien	Gaule
Gambia	Gambie
Gamla Testamentet	Ancien Testament
Gazaremsan	Bande de Gaza
Georgia	Géorgie
Georgien	Géorgie
Ghana	Ghana
Golgata	Golgotha
Grekland	Grèce
Grenada	Grenade
Grönland	Groenland
Guam	Guam
Guatemala	Guatemala
Gud	Dieu
Gud hjälper den som hjälper sig själv.	Aide-toi, le ciel t’aidera.
Guernsey	Guernesey
Guinea	Guinée
Guinea-Bissau	Guinée-Bissau
Guyana	Guyana
Gyllene horden	Horde d'Or
Göran	Georges
Göta älv	Göta älv
Göteborg	Gothembourg
H-dur	si majeur
Haag	La Haye
Haiti	Haïti
Hamburg	Hambourg
Hannover	Hanovre
Harare	Harare
Haumea	Hauméa
Havanna	La Havane
Helena	Hélène
Helsingfors	Helsinki
Henrik	Henri
Hercegovina	Herzégovine
Herodes	Hérode
Herrens bön	Notre Père
Hertz	hertz
Himalaya	Himalaya
Holland	Hollande
Honduras	Honduras
I	vous
I de blindas rike är den enögde konung.	Au royaume des aveugles, les borgnes sont rois.
IP-adress	adresse IP
Indiana	Indiana
Indien	Inde
Indiska oceanen	océan Indien
Indonesien	Indonésie
Ingen rök utan eld.	Il n'y a pas de fumée sans feu.
Ingermanland	Ingrie
Ingusjien	Ingouchie
Io	Io
Irak	Irak
Iran	Iran
Irene	Irène
Irish coffee	irish coffee
Irland	Irlande
Isis	Isis
Islamabad	Islamabad
Island	Islande
Isle of Man	Ile de Man
Israel	Israël
Italien	Italie
Itjkerien	Itchkérie
Jakarta	Jakarta
Jakob	Jacob
Jamaica	Jamaïque
Jan Mayen	Jan Mayen
Japan	Japon
Jaroslavl	Iaroslavl
Java	Java
Jemen	Yémen
Jeremia	Jérémie
Jerevan	Erevan
Jerusalem	Jérusalem
Jesaja	Isaïe
Jesus	Jésus
Job	Job
Johan	Jean
Johanna	Jeanne
Johannes	Jean
Johannesnycklar	orchis guerrier
Jordanien	Jordanie
Josef	Joseph
Josua	Josué
Ju fler kockar, desto sämre soppa.	Autant de têtes, autant d'avis.
Juba	Djouba
Julia	Juliette
Jultomten	père Noël
Julön	île Christmas
Jungfru Maria	Vierge Marie
Jungfrun	Vierge
Jupiter	Jupiter
Jylland	Jutland
KGB	KGB
Kairo	Le Caire
Kalle Anka	Donald Duck
Kambodja	Cambodge
Kamerun	Cameroun
Kampala	Kampala
Kanada	Canada
Kanarieöarna	Canaries
Kanton	Canton
Kap Verde	Cap-Vert
Kappadokien	Cappadoce
Kapstaden	Le Cap
Karelen	Carélie
Karibien	Espace Caraïbe
Karibiska havet	mer des Caraïbes
Karl	Charles
Katalonien	Catalogne
Katarina	Catherine
Kattegatt	Cattégat
Kazakstan	Kazakhstan
Kebnekaise	Kebnekaise
Kenya	Kenya
Khartum	Khartoum
Kiev	Kiev
Kina	Chine
Kingston	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kirgizistan	Kirghizistan
Kiribati	Kiribati
Kokosöarna	Îles Cocos
Komorerna	Comores
Konungariket Sverige	Royaume de Suède
Korea	Corée
Kosovo	Kosovo
Kraków	Cracovie
Krim	Crimée
Krimbo	Criméen
Kristofer	Christophe
Kristus	Christ
Kroatien	Croatie
Kräftan	Cancer
Kuba	Cuba
Kuwait	Koweït
Köln	Cologne
Köpenhamn	Copenhague
Laos	Laos
Lappland	Laponie
Lars	Laurent
Latinamerika	Amérique latine
Leningrad	Léningrad
Lesotho	Lesotho
Lettland	Lettonie
Libanon	Liban
Liberia	Liberia
Libyen	Libye
Liechtenstein	Liechtenstein
Lika barn leka bäst.	Qui se ressemble s'assemble.
Lilla björnen	Petite Ourse
Lima	Lima
Linköping	Linköping
Lissabon	Lisbonne
Litauen	Lituanie
Liverpool	Liverpool
Ljubljana	Ljubljana
London	Londres
Londonbo	Londonien
Los Angeles	Los Angeles
Louisiana	Louisiane
Luanda	Luanda
Lucia	Lucie
Luxemburg	Luxembourg
Lviv	Lviv
Lyon	Lyon
MP3-spelare	lecteur de MP3
Madagaskar	Madagascar
Madrid	Madrid
Mainz	Mayence
Makedonien	Macédoine
Makemake	Makémaké
Malawi	Malawi
Malaysia	Malaisie
Maldiverna	Maldives
Mali	Mali
Mallorca	Majorque
Malta	Malte
Managua	Managua
Manila	Manille
Margareta	Marguerite
Maria	Marie
Mariupol	Mariupol
Markus	Marc
Marmarasjön	mer de Marmara
Marocko	Maroc
Mars	Mars
Marseille	Marseille
Marshallöarna	Îles Marshall
Martin	Martin
Matteus	Mathieu
Mauretanien	Mauritanie
Mauritius	Maurice
Medelhavet	Méditerranée
Melanesien	Mélanésie
Mellanvästern	Midwest
Mellanöstern	Moyen-Orient
Menorca	Minorque
Merca	Merco
Merkurius	Mercure
Mexico City	Mexico
Mexiko	Mexique
Mikael	Michel
Mikronesien	Micronésie
Mikronesiens federerade stater	États fédérés de Micronésie
Milano	Milan
Minsk	Minsk
Mogadishu	Mogadiscio
Moldau	Moldau
Moldavien	Moldavie
Monaco	Monaco
Mongoliet	Mongolie
Montenegro	Monténégro
Montréal	Montréal
Montserrat	Montserrat
Morgonstund har guld i mund.	L'avenir appartient à ceux qui se lèvent tôt.
Mose	Moïse
Moskva	Moscou
Moçambique	Mozambique
Muhammed	Mahomet
Muskat	Mascate
Musse Pigg	Mickey Mouse
Myanmar	Myanmar
Mycket skrik för lite ull, sa bonden när han klippte grisen.	Tant de bruit pour une omelette.
Mälaren	Mälar
Människan spår, gud rår.	L’homme propose et Dieu dispose.
Många bäckar små gör en stor å.	Les petits ruisseaux font les grandes rivières.
München	Munich
NATO	OTAN
Namibia	Namibie
Nassau	Nassau
Nato	OTAN
Nauru	Nauru
Neapel	Naples
Nederländerna	Pays-Bas
Nederländska Antillerna	Antilles néerlandaises
Nehemja	Néhémie
Nepal	Népal
Neptunus	Neptune
Nevada	Nevada
New Delhi	New Delhi
New England	Nouvelle-Angleterre
New Orleans	Nouvelle-Orléans
New York	New York
Nicaragua	Nicaragua
Nice	Nice
Nicosia	Nicosie
Niger	Niger
Nigeria	Nigeria
Niklas	Nicolas
Nilen	Nil
Nils	Nicolas
Niue	Nioué
Noak	Noé
Nobelpris	prix Nobel
Nordamerika	Amérique du Nord
Nordatlanten	Atlantique Nord
Nordeuropa	Europe du Nord
Nordirland	Irlande du Nord
Nordkorea	Corée du Nord
Nordmakedonien	Macédoine du Nord
Nordmarianerna	Mariannes du Nord
Nordsjön	mer du Nord
Norfolkön	Ile Norfolk
Norge	Norvège
Novosibirsk	Novosibirsk
Nu är det kokta fläsket stekt.	les carottes sont cuites
Nya Guinea	Nouvelle-Guinée
Nya Kaledonien	Nouvelle-Calédonie
Nya Sydwales	Nouvelle-Galles du Sud
Nya Testamentet	Nouveau Testament
Nya Zeeland	Nouvelle-Zélande
När katten är borta, dansar råttorna på bordet.	le chat parti, les souris dansent
När man talar om trollen så står de i farstun.	Quand on parle du loup on en voit la queue.
Nürnberg	Nuremberg
Occidenten	occident
Oceanien	Océanie
Oidipus	Œdip
Olympus Mons	mont Olympe
Oman	Oman
Ontario	Ontario
Orkneyöarna	Orcades
Oslo	Oslo
Osvald	Oswald
Ottawa	Ottawa
Oxen	Taureau
Pakistan	Pakistan
Palau	Belau
Palestina	Palestine
Panthalassa	Panthalassa
Papua Nya Guinea	Papouasie-Nouvelle-Guinée
Paradisfågeln	Oiseau de Paradis
Paraguay	Paraguay
Paris	Paris
Pascals triangel	triangle de Pascal
Patagonien	Patagonie
Paul	Paul
Peking	Pékin
Per	Pierre
Peru	Pérou
Petrus	Pierre
Philadelphia	Philadelphie
Phobos	Phobos
Pitcairnöarna	Îles Pitcairn
Polen	Pologne
Polynesien	Polynésie
Pommern	Poméranie
Port Louis	Port-Louis
Port of Spain	Port-d'Espagne
Port-au-Prince	Port-au-Prince
Portugal	Portugal
Prag	Prague
Pretoria	Pretoria
Preussen	Prusse
Puerto Rico	Porto Rico
Pyongyang	Pyongyang
På rullande sten växer ingen mossa.	Pierre qui roule n'amasse pas mousse.
Påskön	île de Pâques
Qatar	Qatar
Quito	Quito
Québec	Québec
Rabat	Rabat
Reformationen	réforme protestante
Reykjavik	Reykjavík
Rhen	Rhin
Rhenlandet	Rhénanie
Riga	Riga
Riyadh	Riyad
Robert	Robert
Rom	Rome
Rom byggdes inte på en dag.	Paris ne s'est pas fait en un jour.
Roseau	Roseau
Rubiks kub	Rubik’s Cube
Rumänien	Roumanie
Rut	Ruth
Rwanda	Rwanda
Ryssland	Russie
Rödluvan	le Petit Chaperon rouge
SARS-CoV-2	SARS-CoV-2
Saint Kitts och Nevis	Saint-Christophe-et-Niévès
Saint Lucia	Sainte-Lucie
Saint Vincent och Grenadinerna	Saint-Vincent-et-Grenadines
Salomonöarna	Salomon
